data_name,seed,train_prerank,train_time_seconds,epochs_trained,best_epoch,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf
households,0,density,2381.202155098086,259,243,3.3382265170415244,0.9535109301408132,0.6536702662706375,0.08831042672197024,0.09233098477125168,0.0826553391913573,0.021859329814712208,0.07677096252640088,0.050194518019755684,0.12496085216601689
households,42,density,2417.069342298899,257,241,3.240936040878296,0.9372381567955017,0.6419357160727183,0.1073428342739741,0.1103493943810463,0.07716738246381283,0.031903743433455624,0.08603907749056816,0.032435367504755654,0.1684329335888227
households,866,density,1225.6977849400137,275,259,3.2556853691736856,0.9269212881724039,0.6292842626571655,0.10592364644010861,0.10522051776448886,0.085271750887235,0.015547675546258688,0.08420283595720927,0.04336333554238081,0.16361787170171738
households,12,density,1162.9783468670212,265,264,3.267898440361023,0.9260890980561575,0.6136940519014994,0.09386632094780605,0.09045408417781194,0.0847056396305561,0.020958170605202515,0.07707574963569641,0.052284342547257744,0.14933586865663528
households,4,density,932.5749852720182,212,196,3.2507343689600625,0.9228361149628957,0.6189452707767487,0.08577245598038037,0.09812128295501073,0.05739297407368819,0.02685784548521042,0.08732799688975017,0.030044591364761192,0.11334812144438426
air,0,density,1436.3327491658274,224,208,5.9457848072052,1.452301526069641,1.0243129909038544,0.0872219257056713,0.09329808987677098,0.14717007875442506,0.08802242688834667,0.06870703510940075,0.04197753388434648,0.12170592546463013
air,42,density,1931.3093137510587,313,297,5.695960664749146,1.4075610160827636,0.9330998003482819,0.09217200502753257,0.09452340081334114,0.17704352140426635,0.06336483173072338,0.08092216849327087,0.05702774859964847,0.1439257323741913
air,866,density,1734.6922578150406,280,264,5.499721717834473,1.3579691171646118,0.8222243010997772,0.09678205922245979,0.09788983017206192,0.1784832537174225,0.057281796261668204,0.08762468695640564,0.051182859018445014,0.14839613884687425
air,12,density,1214.8258399318438,191,175,5.675247669219971,1.4260584354400634,0.9320962786674499,0.09616717547178269,0.0964265413582325,0.19505356550216674,0.07205464988946915,0.08265454396605491,0.051042630523443225,0.1426554724574089
air,4,density,1184.2087093819864,192,176,5.682990884780883,1.4650761246681214,0.9854179084300995,0.08814021572470665,0.08812533095479011,0.15394238829612733,0.05397788174450398,0.07850426062941551,0.041978740319609645,0.12413009330630302
