data_name,seed,train_prerank,train_time_seconds,epochs_trained,best_epoch,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf
households,0,cdf,515.9083096701652,184,168,3.3698716163635254,0.9577763477961222,0.6751738985379537,0.046379288037618004,0.05835621555646261,0.12558318177858988,0.019893851441641647,0.05405813828110695,0.09659897287686665,0.03481977495054404
households,42,cdf,451.8908905889839,156,140,3.253817915916443,0.936792810757955,0.6484306752681732,0.048245845983425774,0.05635951397319635,0.11644288152456284,0.022877394687384367,0.052436781426270805,0.0830504751453797,0.03390548471361399
households,866,cdf,546.3432593448088,189,173,3.3817235628763833,0.9525846838951111,0.6663840810457865,0.04974650156994661,0.06463698297739029,0.11916508401433627,0.019429880815247696,0.055317564556996025,0.07585459637145202,0.029196210205554962
households,12,cdf,410.7485506380908,141,125,3.2640005350112915,0.9489931762218475,0.6541021267573038,0.04549527664979299,0.05889577108124892,0.12772906323273978,0.019163642699519794,0.05271953530609608,0.08426126713554065,0.037754516738156475
households,4,cdf,413.92947954218835,143,127,3.1843584775924683,0.927763044834137,0.635396828254064,0.052490495766202606,0.05368752280871073,0.11600267017881076,0.020238339590529602,0.05024309332172076,0.08028411927322547,0.038477435087164245
air,0,cdf,516.6437290040776,138,122,5.842166185379028,1.477744221687317,1.0747018694877624,0.057244788482785226,0.09194889441132545,0.19382778108119963,0.0488946720957756,0.06976575292646885,0.1049748681485653,0.034963106364011766
air,42,cdf,537.9092882559635,142,126,5.747034072875977,1.437915325164795,0.9888433575630188,0.06422066912055016,0.10385811366140843,0.21610043942928314,0.0577340692281723,0.07176977246999741,0.09312999956309795,0.036741239577531816
air,866,cdf,499.4173672199249,132,116,5.542980718612671,1.3875612378120423,0.8626107752323151,0.05653496496379375,0.09220582246780396,0.19897630363702773,0.061241887882351874,0.06887371055781841,0.07889043614268303,0.03532717414200306
air,12,cdf,483.2416611760855,128,124,5.893215560913086,1.4399318099021912,0.9617487847805023,0.0592872366309166,0.08998681083321572,0.2145557999610901,0.05286350566893816,0.06734137162566185,0.075385432690382,0.03808216918259859
air,4,cdf,613.9654103037901,162,146,5.6725194454193115,1.4769596934318543,1.034761166572571,0.0646754402667284,0.09738068357110023,0.1939609318971634,0.06841871365904809,0.0694032784551382,0.06250747442245483,0.028727665916085242
births1,0,cdf,509.5075543029234,137,121,1.3705970406532288,0.7075111329555511,0.8557538390159607,0.042253988422453405,0.04418377950787544,0.07788581401109695,0.08135782293975354,0.05049018412828445,0.09362693689763546,0.03156306408345699
births1,42,cdf,465.53542232792825,128,112,1.2910160362720489,0.7356000542640686,0.8792185544967651,0.03870796095579863,0.034312454797327516,0.11049728393554688,0.1103054329752922,0.05447414740920067,0.18872055262327195,0.02804204486310482
births1,866,cdf,786.792406143155,216,200,0.7870111543685198,0.7293956577777863,0.8540313929319382,0.040250443108379844,0.035877279564738275,0.08806144893169403,0.08900908827781677,0.050421323999762534,0.25072493553161623,0.03277545217424631
births1,12,cdf,528.6446820539422,144,128,1.1921745538711548,0.7119547545909881,0.8366175055503845,0.03979680761694908,0.03321251021698117,0.0986400693655014,0.0996683418750763,0.04964280594140291,0.17629651129245758,0.028365723229944705
births1,4,cdf,525.986699831672,143,127,1.424195545911789,0.7376951396465301,0.8901915729045868,0.04076186083257198,0.040258662216365336,0.09924774020910263,0.09890929460525513,0.05160778574645519,0.15908840745687486,0.023629482090473174
births2,0,cdf,893.2507842262276,241,225,-4.137717819213867,0.9335086584091187,1.046061846613884,0.16702796071767806,0.04282239768654108,0.049130003154277804,0.06697357706725597,0.09974680617451667,0.36083224415779114,0.037279530800879
births2,42,cdf,949.7055740398355,255,239,-4.581816864013672,0.8549856543540955,0.7247014522552491,0.16100243628025054,0.031614159047603604,0.055791687965393064,0.06627269200980664,0.11666764914989472,0.3300847768783569,0.04286437667906284
births2,866,cdf,1016.275156811811,277,261,-4.977146863937378,0.8851396322250367,0.8497451484203339,0.15751071125268937,0.028052720241248608,0.043148183077573773,0.07350967153906822,0.11899115294218063,0.3827521026134491,0.03585952203720808
births2,12,cdf,709.3006663117558,191,175,-4.294844245910644,0.8195062428712845,0.8020193137228488,0.16313616782426835,0.03981569595634937,0.04889386612921953,0.0651604626327753,0.11031857281923294,0.4136069118976593,0.051167352311313155
births2,4,cdf,704.0112719750032,191,175,-3.5229849100112913,0.9476039230823516,0.8898009121417999,0.16660766303539276,0.03600389668717981,0.04671742897480726,0.0765482384711504,0.12063984200358391,0.3911548972129822,0.054703468829393385
wage,0,cdf,487.97630742099136,132,116,1.0772101163864136,0.696062970161438,0.698129802942276,0.061627785488963124,0.061026988178491594,0.07224190905690193,0.07311610840260982,0.06867337971925735,0.32412664890289306,0.030627488810569047
wage,42,cdf,343.71997520374134,93,77,0.7538048893213272,0.717072594165802,0.7319878101348877,0.08021519556641579,0.06027678139507771,0.06988850831985474,0.07047659941017628,0.0720352154225111,0.367462682723999,0.03855283325538039
wage,866,cdf,727.1981119932607,196,180,2.2349698305130006,0.706505936384201,0.6720930457115173,0.04559219479560852,0.03334689680486917,0.050416528806090356,0.05037907510995865,0.045121707022190094,0.052948299795389175,0.040018389374017714
wage,12,cdf,351.9992295629345,96,80,0.6148458272218704,0.7048920512199401,0.7006498277187347,0.067786231264472,0.035564095992594955,0.07997378557920456,0.07872583270072937,0.05248185284435749,0.3826594680547714,0.02840853398665786
wage,4,cdf,285.21940441802144,77,61,0.7517876327037811,0.7372061550617218,0.760850065946579,0.09464886337518692,0.045789683051407334,0.05576648525893688,0.05495018772780895,0.06729092374444008,0.36557841300964355,0.0382709089666605
