data_name,seed,train_prerank,train_time_seconds,epochs_trained,best_epoch,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf
households,0,density,549.931891601067,197,181,3.361139933268229,0.95579061905543,0.6632499496142069,0.0922281891107559,0.0955362307528654,0.079406867424647,0.0205796617083251,0.0739671488602956,0.0422995084275802,0.1358452675243218
households,42,density,723.0119229401462,254,238,3.275663455327352,0.9378422598044076,0.6408476233482361,0.0905148697396119,0.0968943871557712,0.0627122769753138,0.0293202772736549,0.0829284091790517,0.0357521008700132,0.1244300690790017
households,866,density,729.3230794640258,255,239,3.245521148045858,0.9287447929382324,0.6320602297782898,0.1072561579445997,0.1141459258894125,0.0794597522666056,0.017752274715652,0.0939562482138474,0.0351088702057798,0.1612774133682251
households,12,density,623.4322342479136,217,201,3.286988536516825,0.9372018178304036,0.6342450082302094,0.0972916757067044,0.099465445925792,0.0759619573752085,0.0160233089700341,0.0808240411182244,0.0459898114204406,0.1508719896276792
households,4,density,787.4762965359259,279,263,3.218209226926168,0.9189523657162983,0.6218646367390951,0.1046233351031939,0.1152385622262954,0.0653235434244076,0.026258879341185,0.0862183757126331,0.0449798145952324,0.153056189417839
air,0,density,916.7486453771126,249,233,5.777572584152222,1.422837221622467,0.9936986804008484,0.0908249281346798,0.0917360838502645,0.1483334571123123,0.0588128104805946,0.0853904567658901,0.0379064401611685,0.135842740535736
air,42,density,772.4547418130096,206,190,5.676937675476074,1.4088496685028076,0.9370797336101532,0.0865520015358924,0.0854930534958839,0.1617075845599174,0.0618974391371011,0.0618588544428348,0.0481116006150841,0.1389187701046466
air,866,density,870.1619584229775,235,219,5.389560413360596,1.346909582614899,0.8125706076622009,0.0947067089378833,0.0904316559433937,0.1579182013869285,0.0563084142282605,0.0802395574748516,0.0332791861146688,0.1471156559884548
air,12,density,739.3857650540303,201,185,5.765413570404053,1.428366494178772,0.9320288479328156,0.0900983162224292,0.0892061524093151,0.1772695273160934,0.0567094756290316,0.0818277046084404,0.0456718639470636,0.1351240031421184
air,4,density,724.4822939471342,196,180,5.677204370498657,1.4552975654602052,0.9805162012577056,0.0938482411205768,0.0950495176017284,0.1688765555620193,0.0618925470858812,0.0885846748948097,0.0463846072554588,0.1336717322468757
births1,0,density,928.2636997769588,244,228,2.1194324135780334,0.7076197504997254,0.8475068986415863,0.0550675150007009,0.0604098346084356,0.0442821672186255,0.0435411870479583,0.0548046436160802,0.0264264373108744,0.0493109825998544
births1,42,density,709.4735049630981,185,169,2.180340075492859,0.7252975761890411,0.8817414462566375,0.0720489401370287,0.0759780421853065,0.0824523646384477,0.0807724900543689,0.0721930138766765,0.0337836015969514,0.0551416903734207
births1,866,density,1337.0327466188464,278,262,2.009090566635132,0.7243035793304443,0.8520991295576096,0.0623310670256614,0.0677069995552301,0.0538323879241943,0.0541814558207988,0.0641797546297311,0.031004383508116,0.0503037935122847
births1,12,density,917.8798411909956,169,153,2.163958263397217,0.7154866933822632,0.8301363229751587,0.0662912007421255,0.0730754677206277,0.0716164235025644,0.0726444941014051,0.065041135624051,0.0331328137777745,0.0484435550868511
births1,4,density,1148.398991893977,212,196,2.198408377170563,0.7276912152767181,0.8867999970912933,0.0829267479479312,0.0963697608560323,0.0551512083038687,0.0535361023619771,0.0695099893957376,0.0324413563124835,0.0719447795301675
births2,0,density,1356.1922932709567,230,214,-1.830910712480545,1.0436473548412324,1.1982335567474365,0.0885705664753913,0.0533288795500993,0.1420530095696449,0.026976131927222,0.0661785032600164,0.0584393817931413,0.0732453033328056
births2,42,density,1835.684551845072,267,251,-2.654273235797882,0.8999903500080109,0.7995430827140808,0.0956514127552509,0.0583620496094226,0.1253164000809192,0.0503636691719293,0.0769029606133699,0.0406332412734627,0.0880339302122592
births2,866,density,1462.0949046448804,223,207,-1.3244562685489654,0.9324670374393464,0.9218752428889274,0.1106902964413166,0.0979334853589534,0.2286830291152,0.0455836936831474,0.0849576823413372,0.032513228431344,0.054619924724102
births2,12,density,1146.052651390899,186,170,12.42809829711914,0.8759137570858002,0.8815721094608306,0.104054719954729,0.0539189796894788,0.1390964135527611,0.0262395932804793,0.0744168631732463,0.041239115782082,0.0931179940700531
