epoch,step,train/loss_term,train/pce_val,train/raw_reg,train/total_loss,val/loss_term,val/pce_val,val/raw_reg,val/total_loss
0,0,,,,,2.792161464691162,0.16751667857170105,0.169439435005188,2.9616010189056396
0,0,5.141907215118408,0.18960464000701904,0.18824468553066254,5.3301520347595215,,,,
1,1,,,,,2.786736249923706,0.16911378502845764,0.16927368938922882,2.956009864807129
1,1,3.279646396636963,0.19906918704509735,0.19098451733589172,3.4706308841705322,,,,
2,2,,,,,2.7815005779266357,0.17295028269290924,0.1686616688966751,2.950162172317505
2,2,4.636127471923828,0.1979900449514389,0.19704532623291016,4.833172798156738,,,,
3,3,,,,,2.7761683464050293,0.17162948846817017,0.16256877779960632,2.938736915588379
3,3,3.9696836471557617,0.1919105052947998,0.18699592351913452,4.156679630279541,,,,
4,4,,,,,2.7706751823425293,0.16861064732074738,0.17144161462783813,2.9421167373657227
4,4,3.0781261920928955,0.19643741846084595,0.19629043340682983,3.27441668510437,,,,
5,5,,,,,2.764876127243042,0.16662950813770294,0.16232024133205414,2.9271962642669678
5,5,2.907366991043091,0.19685408473014832,0.1936928778886795,3.101059913635254,,,,
6,6,,,,,2.758857011795044,0.16416332125663757,0.1678057461977005,2.9266629219055176
6,6,2.7918479442596436,0.1887957602739334,0.1861003190279007,2.9779481887817383,,,,
7,7,,,,,2.7526895999908447,0.16868209838867188,0.16554982960224152,2.9182393550872803
7,7,3.128253221511841,0.175276979804039,0.1747693419456482,3.303022623062134,,,,
8,8,,,,,2.7464852333068848,0.1667962670326233,0.16808883845806122,2.914574146270752
8,8,3.0269508361816406,0.17281603813171387,0.17321722209453583,3.2001681327819824,,,,
9,9,,,,,2.740783214569092,0.1620449721813202,0.16176001727581024,2.902543306350708
9,9,4.499221324920654,0.187972292304039,0.18398115038871765,4.683202266693115,,,,
10,10,,,,,2.735280752182007,0.16028396785259247,0.17103028297424316,2.90631103515625
10,10,3.9697372913360596,0.19913192093372345,0.1981072574853897,4.167844772338867,,,,
11,11,,,,,2.7297849655151367,0.16638459265232086,0.15989762544631958,2.8896822929382324
11,11,3.515151023864746,0.19031919538974762,0.1894451081752777,3.7045960426330566,,,,
12,12,,,,,2.724442481994629,0.16539832949638367,0.16144374012947083,2.8858861923217773
12,12,3.6078293323516846,0.18945667147636414,0.1894746720790863,3.7973039150238037,,,,
13,13,,,,,2.71907901763916,0.15874308347702026,0.15740938484668732,2.876488447189331
13,13,3.8509557247161865,0.17549359798431396,0.17015178501605988,4.0211076736450195,,,,
14,14,,,,,2.7137668132781982,0.16577567160129547,0.15997806191444397,2.8737447261810303
14,14,3.2847824096679688,0.18639320135116577,0.18592436611652374,3.4707067012786865,,,,
15,15,,,,,2.70835280418396,0.16534686088562012,0.16182801127433777,2.87018084526062
15,15,3.7167720794677734,0.1893785446882248,0.18549539148807526,3.9022674560546875,,,,
16,16,,,,,2.702847719192505,0.1623499095439911,0.15443123877048492,2.857279062271118
16,16,2.939025640487671,0.1916082501411438,0.1874362975358963,3.126461982727051,,,,
