data_name,seed,nll,energy,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf,mse
households,0,3.418153603871664,0.951700359582901,0.1006726088623205,0.1017137542366981,0.1378474223117033,0.0217394288629293,0.0716295453409354,0.0963829234242439,0.150326640655597,0.6547255168358485
households,42,3.113848249117533,0.9306109150250752,0.1077352253099282,0.1026124569276968,0.1243198836843172,0.0247824735318621,0.0729069163401921,0.0769496504217386,0.1677389393250147,0.6352037092049917
households,866,3.175431251525879,0.921504278977712,0.0999340116977691,0.0970039727787176,0.1162932800749937,0.0190576560174425,0.0661672999461491,0.079131996879975,0.1623831912875175,0.6281464199225107
households,12,3.252298593521118,0.9107074439525604,0.1062520655492941,0.1041943840682506,0.1301660140355428,0.0231243038239578,0.0744843942423661,0.0947151804963747,0.1734478523333867,0.6045902321736017
households,4,3.12650998433431,0.8990525205930074,0.1031868035594622,0.1083427978058656,0.1075933786729971,0.0231140792990724,0.0728905797004699,0.0953860109051068,0.1618861556053161,0.6015366812547048
air,0,5.742103815078735,1.4249017238616943,0.1000874303281307,0.1023271650075912,0.1989349238574504,0.0583664273843169,0.0764885529875755,0.1038124248385429,0.1564936339855194,0.993434488773346
air,42,5.541384983062744,1.390691912174225,0.0968727834522724,0.0933207556605339,0.2087622687220573,0.0500007737427949,0.0727171063423156,0.0791935857385397,0.1596469655632972,0.9201908588409424
air,866,5.441588020324707,1.3491002798080445,0.0979304291307926,0.0928123600780963,0.2032193019986152,0.0468157971277833,0.0738026082515716,0.0811046827584505,0.1591938510537147,0.8126912713050842
air,12,5.747424125671387,1.4278530955314637,0.0997599810361862,0.0966999918222427,0.2111406177282333,0.056236982345581,0.0751312382519245,0.0782540172338485,0.1576051235198974,0.9396521389484406
air,4,5.53687858581543,1.4306224942207335,0.0984759099781513,0.0925957880914211,0.211616064608097,0.0612717289477586,0.0741714138537645,0.074025734513998,0.1438787788152694,0.9645342707633972
births1,0,1.2460353016853332,0.6963939130306244,0.0900595359504222,0.09285893663764,0.0968360535800457,0.0992404095828533,0.0816227801144123,0.1672293320298195,0.0789086610078811,0.8220067739486694
births1,42,1.1509501457214355,0.7183946549892426,0.0753019228577613,0.0738825965672731,0.1193510010838508,0.120733668655157,0.0756745655089616,0.2165477231144905,0.0677006587386131,0.8733756959438324
births1,866,1.4181510925292968,0.7221787512302399,0.0794914118945598,0.0718200962990522,0.1013201065361499,0.1041517592966556,0.0732678465545177,0.1532022312283515,0.066982403025031,0.8538409143686294
births1,12,1.285199445486069,0.7042445480823517,0.0867009900510311,0.0897171586751937,0.1098061323165893,0.1118657737970352,0.0829986162483692,0.1577765688300133,0.0754667859524488,0.8220683693885803
births1,4,1.223982149362564,0.7140509486198425,0.0770776499062776,0.0790174428373575,0.1113512657582759,0.112920406460762,0.0754042744636535,0.2139895781874656,0.0667153038084507,0.8552566409111023
births2,0,-4.485121059417724,0.9485985338687896,0.192929096519947,0.0522279262542724,0.0613738942891359,0.0707053933292627,0.1142134338617324,0.4240611433982849,0.2278585135936737,1.0360217601060868
births2,42,-4.944771039485931,0.860887885093689,0.2131102442741394,0.0521737914532423,0.0777317255735397,0.0963961772620678,0.1189318239688873,0.4282912880182266,0.2225326314568519,0.6736824631690979
births2,866,-4.827469110488892,0.8663262367248535,0.2032485708594322,0.0436128577217459,0.0633735749870538,0.0743036430329084,0.125002608448267,0.4248076885938644,0.2236990869045257,0.8299922093749046
births2,12,-4.240170288085937,0.8416922986507416,0.1851643502712249,0.0676532559096813,0.0785612367093563,0.0602999616414308,0.1255030460655689,0.3757768750190735,0.1443047627806663,0.7932233199477196
births2,4,-4.972531509399414,0.9273738265037536,0.2002581343054771,0.0648877698928117,0.0655718620866537,0.086184261739254,0.1185290932655334,0.4181255459785461,0.2337077841162681,0.827944153547287
wage,0,0.4257550537586212,0.691222870349884,0.1302897252142429,0.0777971651405096,0.113247537612915,0.1186935722827911,0.1066220819950103,0.4168925076723099,0.1334010362625122,0.6895960509777069
wage,42,0.5767769515514374,0.7313836753368378,0.1318370461463928,0.095206394046545,0.1033950190991163,0.1052543375641107,0.1204428985714912,0.409069287776947,0.1490608423948288,0.7635130405426025
wage,866,0.3527208566665649,0.6970243334770203,0.1369444757699966,0.0830907449126243,0.1065401576459407,0.1077974036335945,0.1208617508411407,0.4230375915765762,0.1479451164603233,0.7001599252223969
wage,12,0.5486144483089447,0.6801016390323639,0.1336528144776821,0.0850379884243011,0.1161922968924045,0.1173960335552692,0.1125378660857677,0.4165439635515213,0.1340821020305156,0.6766282737255096
wage,4,0.4016808420419693,0.7023983359336853,0.1284572951495647,0.0855312712490558,0.104419820010662,0.1060198619961738,0.1108454599976539,0.4096161395311355,0.1454925209283828,0.7212247788906098
scm20d,0,8.717486917972565,2.331388235092163,0.0785460090264678,0.0854079825803637,0.1559776598587632,0.060173497069627,0.0390177173539996,0.0855858530849218,0.0826636804267764,0.8054183125495911
scm20d,42,7.539923131465912,2.2802408933639526,0.0733067160472273,0.0737076657824218,0.1506863702088594,0.0694491127505898,0.0360320010222494,0.0793755548074841,0.0915212500840425,0.7721938118338585
scm20d,866,7.534654200077057,2.280835956335068,0.0617224327288568,0.0688816555775702,0.1127812294289469,0.0764272240921855,0.0390009898692369,0.0891121970489621,0.0659451591782271,0.7726040408015251
scm20d,12,8.719145596027374,2.3970277309417725,0.0734390774741768,0.0827161381021142,0.1320438915863633,0.0723024043254554,0.0391830182634294,0.0936910733580589,0.0719678713940084,0.8538199365139008
scm20d,4,7.769276142120361,2.3301598131656647,0.0802429895848035,0.0887993024662137,0.1478618700057268,0.078127380926162,0.0405165827833116,0.0795578965917229,0.0790535220876336,0.8170093894004822
scm1d,0,14.496735678778755,2.0836101373036704,0.0525664169755246,0.0595917954213089,0.0956499874591827,0.1189847042163213,0.0476051693161328,0.0901628285646438,0.0641198754310607,0.6579055454995897
scm1d,42,6.554971800910102,2.034091499116686,0.0397835800217257,0.0471118634773625,0.0801175220145119,0.0805463550819291,0.0386663042008876,0.0937638721532291,0.0459837909373972,0.6354249450895522
