data_name,seed,prerank,pce,nll,energy,mse
households,0,marginal,0.0287411591658989,3.295858860015869,0.9510554075241088,0.6633817354838053
households,42,marginal,0.0317492481941978,3.270182728767395,0.882693370183309,0.5545229365428289
households,866,marginal,0.0296705563863118,3.396922548611959,0.965792069832484,0.6529639959335327
households,12,marginal,0.0299819195643067,3.4238725105921426,0.9608829120794932,0.6676719784736633
households,4,marginal,0.0274373767897486,3.2555200656255088,0.9354101518789928,0.6235581934452057
households,0,mean,0.0256907371804118,3.4451335668563843,0.9537708858648936,0.6624556879202524
households,42,mean,0.0308400737121701,3.3009208838144937,0.9081163704395294,0.5482776562372843
households,866,mean,0.0209889522132774,3.4543917576471963,0.9600857396920522,0.6350820163885752
households,12,mean,0.0210281551505128,3.447738647460937,0.9675661822160084,0.6726035078366598
households,4,mean,0.0209439530347784,3.3275386095047,0.9327199359734852,0.6217396259307861
households,0,variance,0.0281784515051792,3.445220430692037,0.9743603070576986,0.6946717003981272
households,42,variance,0.0238953488878905,3.235839605331421,0.8964162170886993,0.5680737545092901
households,866,variance,0.0172682629587749,3.3585681120554605,0.93391615152359,0.6238248149553934
households,12,variance,0.0146337509310493,3.3358224630355835,0.94720924894015,0.6630594333012899
households,4,variance,0.021524054929614,3.304046352704366,0.9319947262605032,0.6223408430814743
households,0,dependency,0.0169481271877884,3.4078920682271323,0.9466940462589264,0.6600016156832377
households,42,dependency,0.0171011636654535,3.096979777018229,0.8690340320269266,0.5378100574016571
households,866,dependency,0.0168952212358514,3.2132678429285684,0.927803635597229,0.6292681396007538
households,12,dependency,0.029699972209831,3.222469647725424,0.9429161051909128,0.654010683298111
households,4,dependency,0.0225568536358575,3.2031749486923218,0.9207299947738647,0.6172052721182505
households,0,pca,0.0255760125194986,3.223840117454529,0.9368468423684438,0.6405173639456431
households,42,pca,0.0279226855685313,3.1411645809809365,0.8771656552950541,0.5333479990561804
households,866,pca,0.0276947924867272,3.3551912705103555,0.9479723274707794,0.6290341317653656
households,12,pca,0.0246309501429398,3.508843024571737,0.9704428215821584,0.6709354917208353
households,4,pca,0.0239465140427152,3.4244625568389893,0.953530659278234,0.6358114381631216
households,0,density,0.0415911708648006,3.314844846725464,0.9542807837327322,0.6712210873762766
households,42,density,0.0363841891909639,3.19135590394338,0.8696921269098917,0.530791312456131
households,866,density,0.0366153493523597,3.36682653427124,0.9591096043586732,0.6591007014115652
households,12,density,0.0481674553205569,3.3899245262146,0.9517139593760172,0.6572391390800476
households,4,density,0.0306414986650149,3.200951099395752,0.9284541308879852,0.62557985385259
households,0,cdf,0.032460266413788,3.3187526067097983,0.9717718462149302,0.6950413584709167
households,42,cdf,0.0324776032939553,3.177879929542541,0.8830632865428925,0.5461632758378983
households,866,cdf,0.0308959869047005,3.443988005320231,0.9657334983348846,0.670849492152532
households,12,cdf,0.0296166008338332,3.3901069164276123,0.985438605149587,0.7228181262811025
households,4,cdf,0.0277482982104023,3.4414092302322388,0.9561570286750792,0.6590719322363535
air,0,marginal,0.0444108754396438,6.060109615325928,1.4660928606987,1.0470192968845369
air,42,marginal,0.0394943628460168,5.825693559646607,1.4572613954544067,1.0121600389480592
air,866,marginal,0.0407489251345396,5.523340272903442,1.371617066860199,0.8683728039264679
air,12,marginal,0.0359627041965723,5.749669313430786,1.388306188583374,0.9102285802364348
air,4,marginal,0.0388407908380031,5.833660125732422,1.422266387939453,0.9159795463085174
air,0,mean,0.0316738503053784,6.117309093475342,1.4528107047080994,1.0393217861652375
air,42,mean,0.0284485505893826,5.825812721252442,1.4551631093025208,1.0108469903469086
air,866,mean,0.02092409087345,5.60996379852295,1.3833530068397522,0.8687683284282685
air,12,mean,0.0290177215822041,5.744008302688599,1.4103473782539369,0.9133658885955812
air,4,mean,0.0215732987970113,5.7631830215454105,1.4339609026908875,0.9159559667110444
air,0,variance,0.0294615225866436,6.017739295959473,1.4785812854766849,1.0680700421333311
air,42,variance,0.0279530553147196,5.807633018493652,1.4518594861030578,1.0113869726657867
air,866,variance,0.0259623075835406,5.47278470993042,1.3591821551322938,0.8717190086841583
air,12,variance,0.0259582934901118,5.673849105834961,1.3816216945648194,0.8970338076353073
air,4,variance,0.0244425329379737,5.7800148010253904,1.4185630679130554,0.9324591636657716
air,0,dependency,0.0313271421939134,5.883748722076416,1.4405514359474183,1.0340099692344666
air,42,dependency,0.02314207945019,5.765197467803955,1.4505722761154174,1.016034197807312
air,866,dependency,0.023636776022613,5.4083171606063845,1.3564027667045593,0.8680112153291702
air,12,dependency,0.0258241012692451,5.73080587387085,1.3725831747055053,0.9010095417499542
air,4,dependency,0.0308146828785538,5.774845552444458,1.4088316679000854,0.923729246854782
air,0,pca,0.0432635109871625,5.9981067180633545,1.4473588466644287,1.0340040385723115
air,42,pca,0.0441581822931766,5.969164609909058,1.465567684173584,1.0108265578746796
air,866,pca,0.0369813997298479,5.583375120162964,1.3547422289848328,0.8505664348602295
air,12,pca,0.0344082197174429,5.656408071517944,1.4004929542541504,0.9082539677619934
air,4,pca,0.0373802199959754,5.7295787811279295,1.4161283254623414,0.9202435910701752
air,0,density,0.0566203633323311,5.890759468078613,1.4371276140213012,1.0283296406269071
air,42,density,0.0570887267589569,5.7242237567901615,1.4374619245529174,0.9935477674007416
air,866,density,0.0379099851474165,5.443717646598816,1.3687551021575928,0.8744917333126068
air,12,density,0.0295677237212657,5.59910569190979,1.3890115380287171,0.9141372084617616
air,4,density,0.0429051961749792,5.675915813446045,1.3926913857460022,0.9026636004447935
air,0,cdf,0.0250144747085869,6.103693675994873,1.477344286441803,1.086147600412369
air,42,cdf,0.0268392011523246,5.811223316192627,1.4692103743553162,1.06325107216835
air,866,cdf,0.0295583013445138,5.503724384307861,1.374104082584381,0.8965969741344452
air,12,cdf,0.0304449841380119,5.789991140365601,1.4132392168045045,0.9587539792060852
air,4,cdf,0.0331655267626047,5.785600280761718,1.442101037502289,0.963404756784439
births2,0,marginal,0.0336996391415596,-4.1177338600158695,0.9726502478122712,0.9754252672195436
births2,42,marginal,0.0317888548597693,-4.275095868110657,1.059298300743103,1.8053279757499692
births2,866,marginal,0.0291703786700964,-4.878793406486511,0.9836087107658388,1.4055761218070983
births2,12,marginal,0.0331832526251673,-3.930584645271301,0.921109676361084,0.9424633055925368
births2,4,marginal,0.0252385802567005,-4.208485436439514,0.8826093256473542,0.8197305917739868
births2,0,mean,0.0265442827716469,-0.6216086864471435,0.962349146604538,0.9335858941078186
births2,42,mean,0.0329257328063249,-3.984611546993256,1.0151501893997192,1.714542704820633
births2,866,mean,0.030905598308891,-4.79202675819397,0.9630304634571076,1.3118537068367004
births2,12,mean,0.0314540247432887,-4.516683959960938,0.8935904383659363,0.897119191288948
births2,4,mean,0.0219308100640773,-4.706252336502075,0.864706528186798,0.7798650026321411
births2,0,variance,0.0472332239151001,-4.870638680458069,0.909651494026184,0.8745281338691712
births2,42,variance,0.0490820966660976,-4.817813730239868,0.9918748080730438,1.658523678779602
births2,866,variance,0.0441092848777771,-4.1520685881376265,0.9276223719120026,1.2839709520339966
births2,12,variance,0.038266803137958,-4.505704259872436,0.860658323764801,0.832385602593422
births2,4,variance,0.0453175392001867,-5.189131402969361,0.8339026749134064,0.7179291069507598
births2,0,dependency,0.0311744349077343,-3.617344951629639,0.914889657497406,0.8671842277050018
births2,42,dependency,0.0325251882895827,-4.456769394874573,1.0047017335891724,1.6550259232521056
births2,866,dependency,0.0334264891222119,-4.2380308389663695,0.9445549249649048,1.285443753004074
