data_name,seed,nll,energy,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf,mse
households,0,3.2862276236216226,0.9452489898318337,0.025536633717517,0.0186834031095107,0.0208058810482422,0.0196789714197317,0.0201135960717995,0.0183407183115681,0.0275745829567313,
air,0,5.685531091690064,1.4205696736063278,0.0288721662014722,0.0253815434873104,0.0244790671393275,0.02639503441751,0.0264000434428453,0.0225483062677085,0.0397205226123332,
births1,0,1.1303224325180057,0.6964012946401323,0.0331245616078376,0.0332883136346936,0.0325938738882541,0.0270269659347832,0.0275481526739895,0.0235577864572405,0.0324057780206203,
births2,0,-4.219482636451721,0.9204122356006078,0.1181329220533371,0.0508475221693515,0.0854367274791002,0.038353943452239,0.0577741865068674,0.0336061020381748,0.043992530927062,
wage,0,0.6355418771505356,0.7021003816808973,0.0465328900143504,0.0426277546212077,0.0284720184281468,0.028729385510087,0.0420885149389505,0.0340677044354379,0.0450126838870346,
scm20d,0,8.907242953777313,2.2969211552824293,0.0264496291056275,0.0367998664733022,0.0625437800772488,0.0636752122081816,0.0414831466041505,0.0300602039787918,0.0528423874638974,
scm1d,0,36.499628172980415,1.8820565371286302,0.0264766131424241,0.0341272021954258,0.0520361094839043,0.0978831474979718,0.0458807850049601,0.0316193192783329,0.0571658540931012,
wq,0,20.25406837463379,2.5466421331678117,0.0973023027181625,0.0287550017237663,0.0534114688634872,0.0370287746191024,0.0336194485425949,0.0643967986106872,0.244974747300148,
scpf,0,-6.227828979492188,0.23683579053197584,0.1211481690406799,0.0622460432350635,0.1482691466808319,0.0348476059734821,0.0782696008682251,0.0229804553091526,0.0338105969130992,
meps_21,0,-1.9730725958943367,0.3959399118487324,0.056149233598262,0.026019784854725,0.058065139921382,0.0358279952779412,0.0260767483850941,0.0212338311248458,0.0256320988410152,
meps_19,0,-1.736273318529129,0.41904407393719467,0.052464447915554,0.0301782034803181,0.0539708095602691,0.0300114603014662,0.0315693205920979,0.0203754028188996,0.0318286842666566,
meps_20,0,-1.810969306363,0.4219800524768375,0.0595478632797797,0.0275835759627322,0.0544060878455638,0.0299856187775731,0.0309006478637456,0.0241419510501954,0.0304346329843004,
house,0,1.5503022722575976,0.6556960551635079,0.0263500321332527,0.0400340832445932,0.038049184028869,0.0373110746478904,0.035097285133341,0.0280893808230757,0.0254392085353965,
bio,0,-0.789882385263256,0.2302312706114531,0.020233195256807,0.0217682635776844,0.0243778638815616,0.0233043462914579,0.0219917575481767,0.0219734000115125,0.023982390651808,
blog_data,0,-0.7183161228895187,0.6247176836824302,0.0604340603290978,0.0248949410614825,0.0365365580103154,0.0355105497006137,0.0267221296395538,0.0213038875500403,0.0227539027267593,
calcofi,0,0.5705998939688967,0.4200335219681334,0.0199157391770688,0.0201709134520829,0.0206809590434647,0.0204948363693611,0.0198010705067079,0.0242761097126444,0.0202865332116552,
ansur2,0,1.778059959411621,0.5310637865747724,0.0404421351850032,0.0461615212261676,0.0244191316887736,0.0233008880168199,0.0346472514793276,0.019114154856652,0.0405555488541722,
taxi,0,1.6750858272824969,0.6849328920549276,0.022146823895829,0.0233269838749298,0.0256496785075536,0.0224291317031851,0.0211441660832081,0.0207190676725336,0.0234121082882796,
