data_name,seed,nll,energy,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf,mse
households,0,3.354814648628235,0.947327584028244,0.08788494393229485,0.09005455796917279,0.13260336592793465,0.023051805483798187,0.07128310203552246,0.14320710798104605,0.13721584528684616,0.6514669358730316
households,42,3.2047555843989053,0.9236834545930227,0.09764152392745018,0.08705932274460793,0.114546038210392,0.021070109214633703,0.0691499908765157,0.08814540505409241,0.15745582431554794,0.6315807501475016
households,866,3.1658820708592734,0.9209969441095988,0.09426327173908551,0.09535362695654233,0.12489031379421552,0.01929685613140464,0.06890162577231725,0.11191199844082196,0.1477445252239704,0.6246261497338613
households,12,3.169687787691752,0.9099421401818594,0.092091865837574,0.08509825418392818,0.12383369108041127,0.02493047504685819,0.06448892876505852,0.10470262045661609,0.15331854919592539,0.5979619820912679
households,4,3.1243191162745156,0.907214879989624,0.09252359966437022,0.09738174701730411,0.09628094360232353,0.019271674565970898,0.06786796947320302,0.08655169544120629,0.14771599819262823,0.6097111503283182
air,0,5.721573257446289,1.3908408164978028,0.0910709023475647,0.0857745163142681,0.16898883432149886,0.053991821594536304,0.06805413141846657,0.0660171501338482,0.1356494553387165,0.9575541496276856
air,42,5.654147720336914,1.397226905822754,0.08589188307523728,0.08084310926496982,0.1762656182050705,0.04460819065570831,0.06443858668208122,0.0777983047068119,0.1391301140189171,0.9277231097221375
air,866,5.364278888702392,1.3626264095306397,0.08998551368713378,0.08198679499328136,0.17736725509166718,0.044724736362695694,0.06811182387173176,0.06986178383231163,0.1409994088113308,0.8261970162391663
air,12,5.704442644119263,1.421730387210846,0.09268349707126618,0.0889635592699051,0.2124888315796852,0.05651402659714222,0.07564645484089852,0.08306929096579552,0.14876385256648064,0.9252234935760498
air,4,5.73246283531189,1.4401846766471862,0.09004242271184922,0.08409183695912362,0.2115825816988945,0.046560300327837464,0.06717275008559227,0.0877791240811348,0.12951275929808617,0.9652402520179748
births1,0,1.0071212351322174,0.7011086821556092,0.0691454440355301,0.07404450215399265,0.08178873807191848,0.08416234590113163,0.07003483958542348,0.19576489925384521,0.0635582983493805,0.8258977472782135
births1,42,1.1596219897270204,0.717414277791977,0.07012853138148785,0.06538447439670562,0.10090248696506024,0.10353314802050591,0.0692728016525507,0.15625954568386077,0.060835666581988336,0.8654969811439515
births1,866,1.3618776679039002,0.7154712677001953,0.07639390006661415,0.0679952472448349,0.08808073103427887,0.08956558108329774,0.07062278650701045,0.1841553717851639,0.06814780086278915,0.8429128497838974
births1,12,1.3183931946754455,0.7107876896858215,0.07028843946754933,0.06912080533802509,0.096589607745409,0.09710205495357513,0.07107548415660858,0.16770800650119783,0.05869643315672875,0.8289309799671173
births1,4,1.242224246263504,0.719832968711853,0.0692437645047903,0.07495070360600949,0.10590086877346039,0.1075309693813324,0.07309141121804714,0.1982735775411129,0.06054872721433639,0.860195392370224
births2,0,-3.9432476384565236,0.9524820685386658,0.1647057890892029,0.034635229595005514,0.05929979346692562,0.05989444963634014,0.09523474052548409,0.36097785979509356,0.1268142692744732,1.0599258720874787
births2,42,-4.483453845977783,0.8652642607688904,0.19765851199626921,0.037220964394509795,0.061418817937374116,0.0815677758306265,0.12685469314455985,0.4126153916120529,0.2088569700717926,0.7234854638576508
births2,866,-4.634975433349609,0.8771407783031464,0.1960819587111473,0.03983460683375597,0.05292469449341297,0.06913188509643078,0.11990243643522262,0.4287570148706436,0.2275727614760399,0.8382858112454414
births2,12,9.328720927238464,0.8519597589969635,0.19786258637905121,0.04362586364150047,0.059668082371354104,0.06605088487267494,0.14669489115476608,0.42144976258277894,0.22693466395139694,0.8278409942984581
births2,4,-4.0059147596359255,0.9143723309040069,0.1980862244963646,0.04399146717041731,0.052896226197481154,0.07174725383520127,0.11615056470036507,0.4359689563512802,0.24040509015321732,0.8033820033073426
