data_name,seed,nll,energy,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf,mse
households,0,3.2338350216547647,0.9403309226036072,0.09500514964262645,0.09585068002343178,0.1217162882288297,0.021347541362047195,0.0656142346560955,0.10232179860273997,0.14790904894471169,0.6410429378350576
households,42,3.1603673299153647,0.9291044572989146,0.09682827691237132,0.08741346498330434,0.13163709143797556,0.02448558310667674,0.064808189868927,0.08810724566380183,0.14843674500783285,0.6347250541051229
households,866,3.154534339904785,0.9200381338596344,0.09359548365076382,0.09653969233234723,0.10461700583497684,0.014688639901578426,0.06292097146312396,0.06862087734043598,0.14279991388320923,0.6257494489351908
households,12,3.1503377755482993,0.9170157512029012,0.09696658452351888,0.08916109055280685,0.13312992081046104,0.019130457037438948,0.06149118083218733,0.07275396957993507,0.1507310022910436,0.6089010934034983
households,4,3.171902894973755,0.9157631099224091,0.09608520815769832,0.09810557216405869,0.10818684721986453,0.017366029632588226,0.06974193826317787,0.0878441749761502,0.1524040400981903,0.6182859738667806
air,0,5.691930437088013,1.417921257019043,0.09734908938407898,0.09830989316105843,0.17298961207270622,0.05535040181130171,0.074683428555727,0.07795318998396397,0.15070637315511703,0.9809110283851623
air,42,5.619259023666382,1.3865417957305908,0.09399055317044258,0.09398418739438057,0.2196729838848114,0.05239247977733612,0.07675879150629043,0.09649689048528672,0.14929134845733644,0.9175294041633606
air,866,5.342225074768066,1.3430890917778016,0.09670073091983795,0.08819614872336387,0.19190122038125992,0.04388095792382955,0.07308732494711875,0.08215335011482239,0.15299562364816666,0.8096639275550842
air,12,5.702854156494141,1.4216420531272889,0.09499817788600921,0.08979216814041138,0.1986244350671768,0.06061194371432066,0.06777529306709766,0.06534199081361294,0.15086492747068406,0.9297118723392487
air,4,5.553100442886352,1.430777335166931,0.09739572107791901,0.08820929899811744,0.1926277831196785,0.04642446916550398,0.0744029387831688,0.08636671006679535,0.14358127415180205,0.9592976152896882
births1,0,1.0070049464702606,0.6971156775951386,0.07767412886023521,0.08175340555608272,0.08679944202303887,0.08792361989617348,0.0743555013090372,0.24352873712778092,0.06896044537425042,0.833753091096878
births1,42,1.0580942749977111,0.718676745891571,0.06435028687119485,0.06349748559296131,0.09766710251569748,0.09907301552593709,0.06688510179519654,0.2106725677847862,0.061605668440461156,0.8777978837490081
births1,866,1.0534486949443818,0.7148377358913421,0.06742639765143395,0.0659800000488758,0.08719754219055176,0.0895349219441414,0.06685524061322212,0.23565579801797867,0.06261616721749305,0.8469890147447586
births1,12,0.9486747741699219,0.6965399563312531,0.07087986506521701,0.07495073303580284,0.09429342672228813,0.09726888090372085,0.07741388082504272,0.23658435940742492,0.06404884830117226,0.8073083758354187
births1,4,1.0840840697288514,0.717684417963028,0.07026937752962112,0.07269433699548244,0.10178213641047477,0.10049692615866661,0.06997459307312966,0.23874204158782958,0.060534116253256796,0.8544690847396851
