data_name,s,prerank,pce,nll,energy,total_train_time,total_inference_time
households,100,marginal,0.0296798888593912,3.343005379041036,0.9630944828192392,2.95684089276474,0.010007204224045
households,1000,marginal,0.028360163172086,3.4125624895095825,0.9497758746147156,4.150700117197508,0.0086881385262434
households,100,mean,0.0224709923689564,3.3882911602656045,0.9768209159374236,2.3907586427327865,0.007942359164978
households,1000,mean,0.0228625788974265,3.427808086077372,0.962650199731191,3.545920522836968,0.0101015937825043
households,100,variance,0.0259304582141339,3.3412615855534877,0.9498361051082612,2.8678097824798896,0.0086167139777292
households,1000,variance,0.0225892428619166,3.3322641849517822,0.9474768141905466,3.935104140119317,0.0091249441495165
households,100,dependency,0.0231009411315123,3.278773069381714,0.9477696716785432,2.6809138623454296,0.008967102652726
households,1000,dependency,0.0227876743301749,3.337200919787089,0.95136292775472,2.292607177165337,0.009482546399037
households,100,pca,0.0268785605827967,3.3967339197794595,0.9520529011885324,3.6698080707496654,0.0103451301110908
households,1000,pca,0.0245253710697094,3.366730133692424,0.9578012724717458,3.614796734368429,0.0093524245622878
households,100,density,0.0562348881115516,3.415683706601461,0.9664638837178549,10.518203708335449,0.0138842226782192
households,1000,density,0.05598128400743,3.33596940835317,0.9528976877530416,54.83068294203064,0.057611598734123
households,100,cdf,0.0344026923800508,3.430705666542053,0.9760302205880484,5.568590580268452,0.0129078100047384
households,1000,cdf,0.0319817156220475,3.390381654103597,0.9806935787200928,38.21150185035076,0.047043556945088
air,100,marginal,0.0380367886275053,5.771510648727417,1.4460066914558412,2.9772909936495124,0.0107492793817073
air,1000,marginal,0.0396585281938314,5.876259756088257,1.44503173828125,4.083045587711967,0.0122295975141848
air,100,mean,0.0294314198195934,5.875032234191894,1.4371811032295227,3.658069507800974,0.010906137083657
air,1000,mean,0.0273172410205006,5.842226219177246,1.4352368474006654,3.785123227451307,0.0106991078161324
air,100,variance,0.0237741947174072,5.760257768630981,1.4513969898223875,3.8192234481684864,0.010283347312361
air,1000,variance,0.0241215790621936,5.832801437377929,1.4425057291984558,3.941552308488947,0.0100633108833183
air,100,dependency,0.0268367045558989,5.7820690155029295,1.4213823914527892,4.11565108706709,0.0111043752326319
air,1000,dependency,0.027617476414889,5.762840604782104,1.4298900842666626,3.936754725314677,0.0114451587665826
air,100,pca,0.0348328080028295,5.922265148162841,1.434589731693268,3.822019386788209,0.0116564724516744
air,1000,pca,0.0388171769678592,6.131102895736694,1.4322555303573608,5.25475339544937,0.0131691043032333
air,100,density,0.0304750829935073,5.754209804534912,1.4433804392814635,11.58316771875446,0.0199744872826462
air,1000,density,0.0311360899358987,5.873135757446289,1.437434482574463,54.1516056763862,0.0911001414991915
air,100,cdf,0.0291990483179688,5.815047359466552,1.4613341331481933,10.004183912316028,0.0163147847323367
air,1000,cdf,0.0307966442778706,5.868164443969727,1.4501919865608217,62.16966874426386,0.072629898165663
births1,100,marginal,0.0298153806477785,1.3861475825309753,0.7164633393287658,3.657215145664911,0.0106899464114879
births1,1000,marginal,0.0279616147279739,2.1409804105758665,0.7119652092456817,3.6532151520174616,0.0115703034990777
births1,100,mean,0.0285007999278604,1.4699753642082214,0.725017535686493,3.0850633116671817,0.0109888571624954
births1,1000,mean,0.0265884017571806,1.4323774933815003,0.7150197684764862,2.726237920120669,0.0103693983051925
births1,100,variance,0.0280941497534513,2.137197542190552,0.7006193578243256,4.481458418901699,0.0111973783156524
births1,1000,variance,0.0265028294175863,2.137947034835816,0.7058154881000519,2.628538067235301,0.0098820269030208
births1,100,dependency,0.02063807621598244,2.1088581800460817,0.696933525800705,3.5622837506545086,0.011087547793673972
births1,1000,dependency,0.022706438973546027,1.5094713926315309,0.7007287681102753,6.069630404895482,0.009557338167602817
births1,100,pca,0.03446530774235725,1.5498598217964172,0.7306377112865448,2.376990553550422,0.011057240903998415
births1,1000,pca,0.03170379940420389,1.3152245044708253,0.7212128639221191,3.2014440740303445,0.01102156883571297
births1,100,density,0.026544728595763446,2.103729319572449,0.6982911586761474,7.680208983932001,0.01690444053771595
births1,1000,density,0.05991410538554191,1.6763308763504028,0.7027050435543061,66.97677274010299,0.0898594822268933
births1,100,cdf,0.0259402172639966,1.1512111186981202,0.7245112478733062,8.397245517636959,0.015617001537854473
births1,1000,cdf,0.02782245371490717,1.2058006525039673,0.7153885006904602,73.16302599214639,0.07483366782932231
births2,100,marginal,0.030202218145132066,-4.60879921913147,0.9993886411190033,5.738425061999199,0.010197728034108877
births2,1000,marginal,0.0334791075438261,-2.646959066390991,1.0177621603012086,3.8499222966143862,0.009999977851596972
births2,100,mean,0.024909631162881852,-3.8860487222671507,0.9972512722015381,4.436577852830911,0.009700096646944682
births2,1000,mean,0.023847560118883847,-4.1341546177864075,0.987462329864502,5.346465776100134,0.010571543181625506
births2,100,variance,0.04865818601101637,-4.686176443099976,0.9724752128124237,4.683555775205605,0.00887163016013801
births2,1000,variance,0.05114624910056591,-4.318834543228149,0.9594942390918731,5.055404112883844,0.011066056950949133
births2,100,dependency,0.030871304962784053,-4.123070621490479,0.9751817941665649,3.939473919166873,0.010178274079225957
births2,1000,dependency,0.030553197674453258,-1.81499902009964,0.9484287559986114,4.863667016996382,0.010400613963914415
births2,100,pca,0.05315318591892719,-4.1934382796287535,0.9967411875724792,4.515578076949653,0.010838229247989753
births2,1000,pca,0.05543411634862423,-4.094425702095032,0.9722649276256561,5.178595690817262,0.012273534651224811
births2,100,density,0.4149678349494934,-4.439288020133972,0.9523304879665375,11.020039182482288,0.01805772218698015
births2,1000,density,0.37949329018592837,-4.649501776695251,0.9391713976860047,135.03050426623474,0.09102061241865159
births2,100,cdf,0.03675717692822218,-4.264378905296326,0.9933893144130707,15.327398744085803,0.016290678068374594
births2,1000,cdf,0.0346604379825294,-4.20291154384613,1.0161947846412658,127.76404635869743,0.06738506748030583
wage,100,marginal,0.12784635797142982,2.8367457389831543,0.8931989967823029,0.49900307673184824,0.011076105882724126
wage,1000,marginal,0.030917556397616862,1.1757369816303254,0.7188407719135285,3.150865521848512,0.011767325783148408
wage,100,mean,0.026376995723694563,1.0067469716072082,0.7511601388454437,2.757075143364879,0.009654027968645095
wage,1000,mean,0.03026381991803646,0.8515969812870026,0.7188141584396363,2.123938818935615,0.010542658297345043
wage,100,variance,0.028705801256000994,0.5770831257104874,0.7209913313388825,1.7250628429154555,0.00964627331122756
wage,1000,variance,0.02971668718382716,0.5252626024186611,0.7099392652511597,1.550109719648026,0.010373996384441853
wage,100,dependency,0.03499225992709398,0.5053188234567643,0.7310055553913116,2.1145392133388667,0.010505121403063337
wage,1000,dependency,0.030133212450891733,0.9319102942943573,0.7322701573371887,2.338928648130968,0.010869489035879571
wage,100,pca,0.038991484045982364,0.5697834551334381,0.7230736911296844,1.5875914768781514,0.010708074636446933
wage,1000,pca,0.04075962454080582,0.5534912109375,0.7213413834571838,1.571156930217209,0.012596920210247239
wage,100,density,0.37436345517635344,0.6869906216859818,0.6821583032608032,3.9220204800988236,0.01927089171949774
