data_name,seed,prerank,pce_marg,pce_prerank,nll,energy,mse
house,0,marginal,0.0208780576434472,0.0206197591741447,1.84442835268767,0.7095651782077291,0.6982491767924764
house,42,marginal,0.0187379031077675,0.0190996321161156,0.8798304562983306,0.5660107161687769,0.5108273249605427
house,866,marginal,0.0217456847186321,0.0219373131251853,1.853281679360763,0.7085075611653535,0.6981763736061428
house,12,marginal,0.0194837151338224,0.0194867372350848,0.8825453649396482,0.5588447114695674,0.4887832131074822
house,4,marginal,0.0212543583272591,0.021211829724843,0.9125587136849111,0.5731788925502611,0.5297340387883394
house,0,mean,0.0232711489028904,0.0200173896939858,1.4189263219418733,0.6195961962575498,0.5669646120589712
house,42,mean,0.0215687478852012,0.0205765661540562,3.494566476863364,0.541177933630736,0.4676286513390748
house,866,mean,0.0202340561815578,0.0199898083329848,0.6957923847696056,0.5428686504778655,0.5076084240623142
house,12,mean,0.0233495279174783,0.0198671264654916,0.8279425942379496,0.5221239367256993,0.4507179674894913
house,4,mean,0.0212761964648962,0.0222803996875882,0.6714023442372031,0.5473881195420804,0.506572812795639
house,0,variance,0.0206543391813402,0.0206884036812445,1.705328106880188,0.6703141124352164,0.6158759412558182
house,42,variance,0.0209219523746034,0.0204719014708762,0.822797865971275,0.5408583944258483,0.4843377315479776
house,866,variance,0.021276122080567,0.0232371229921346,0.782577255497808,0.5308071232360342,0.5033545714357625
house,12,variance,0.0270881722478762,0.022791268546944,0.9421697181204092,0.5546885210534801,0.4749321561792622
house,4,variance,0.0233291385128446,0.0214397042341854,0.8407064987265546,0.5501932657283285,0.5144750501798547
house,0,dependency,0.0223367321912361,0.0178837804933605,1.466392097265824,0.6239869801894479,0.5901811369087385
house,42,dependency,0.0201238808019653,0.0202829181824041,0.906543801660123,0.5556797411130823,0.4846891527590544
house,866,dependency,0.0209634661998437,0.0207075477051346,0.82591763527497,0.5549220248408939,0.5120743435362111
house,12,dependency,0.0231901535602367,0.0204057571194742,0.6859527800394141,0.5340023507242617,0.4641416215378305
house,4,dependency,0.0222813078890676,0.0197191446736131,0.7190039287442747,0.5528907128002333,0.5140223218047101
house,0,pca,0.0203055415869407,0.0220760295734457,1.5515887426293415,0.6429382381231888,0.599454711312833
house,42,pca,0.019669113640228,0.0203600868420756,0.7035736959913502,0.533680743497351,0.4738301984641863
house,866,pca,0.0210297319876111,0.0269830053591209,1.6092519293660703,0.663297705028368,0.6319657253182452
house,12,pca,0.0205575439512081,0.0212727551065061,0.7398387711981068,0.5278546356636545,0.4620525059492691
house,4,pca,0.0201321955284346,0.0235845106046484,0.7457614230073016,0.5612931381101194,0.525697066732075
house,0,density,0.0204354949781428,0.0209151228646869,1.6158245179964148,0.649330981399702,0.619201546129973
house,42,density,0.0244724070248396,0.0198363732222629,1.930420766706052,0.6075185744658761,0.5499185621738434
house,866,density,0.0252623475845093,0.0203778318169972,1.298845674680627,0.6187112849691639,0.5946078326391138
house,12,density,0.0277516279045654,0.0241833834949394,1.5056185670520947,0.5760250998579938,0.508834737798442
house,4,density,0.0268455029100827,0.0260275190129228,1.2353109069492505,0.6048034299974856,0.5611331035261569
house,0,cdf,0.0237002254504224,0.0242432385440105,1.896917161734208,0.7083385275757831,0.6607896141383959
house,42,cdf,0.0195203833686916,0.0174525837899874,1.5107308988985808,0.5542768343635227,0.4970821077408998
house,866,cdf,0.019999597667028,0.0202573877556816,0.7354410523953645,0.5582624000051747,0.5313691937405131
house,12,cdf,0.0206530928692739,0.019663007767952,0.832648824090543,0.5361773423526598,0.4787682968637217
house,4,cdf,0.0203289299717415,0.0197006068192422,0.7858804568000461,0.5555461658083874,0.5036834154440009
bio,0,marginal,0.0207274289363447,0.0208610272875019,-0.7684946971781114,0.2294241908718557,0.2651016468218728
bio,42,marginal,0.021796299820291,0.0218121382024358,-0.6390062962092605,0.2652265204518449,0.7738312003659267
bio,866,marginal,0.0208646913844288,0.021103319858073,-0.7431874140804889,0.2331216200894,0.3299824289393191
bio,12,marginal,0.021441204053368,0.0215954615862346,-0.7089365510379567,0.2444609219537061,0.3646147839140658
bio,4,marginal,0.0199197211540212,0.0202679044804444,-0.7345719606268639,0.2361757956883486,0.2491038516163826
bio,0,mean,0.0209434299784548,0.0222543431445956,-0.7291162154253792,0.2344412458877937,0.2730919333795706
bio,42,mean,0.0221505831087044,0.0208607131578758,-0.5375573407201206,0.2740991387297125,0.7863019675600762
bio,866,mean,0.0214206826708772,0.0213903809404548,-0.6720543275861179,0.2393863464103025,0.3359298510294334
bio,12,mean,0.0215061324118983,0.0198604636003865,-0.721675435702006,0.2449879292763915,0.3646572605505878
bio,4,mean,0.0213464410500783,0.0203967412349347,-0.6537580174558303,0.2434641958451738,0.2609953970885744
bio,0,variance,0.0204221699934671,0.0234437939327429,-0.6323621611969144,0.2418668068507138,0.2811488442707295
bio,42,variance,0.026345878456007,0.0208946849566464,-0.4161920360490387,0.2808812228487987,0.7936774969977491
bio,866,variance,0.0211890478271479,0.023253705535157,-0.6055245212480134,0.2435644587465361,0.3351306834933804
bio,12,variance,0.0217115045981664,0.0196017203669922,-0.6387717162861544,0.2540358214401731,0.3819812930682126
bio,4,variance,0.0201806466770814,0.0201771140609886,-0.6388199942953446,0.2497061610806222,0.2782115681352569
bio,0,dependency,0.0223049153299892,0.02315814556627,-0.653054443060183,0.2421130339304606,0.2866444237822411
bio,42,dependency,0.0212751167698525,0.0206617988262544,-0.5653921149524987,0.2750705726006451,0.795503744599866
bio,866,dependency,0.0202051148950761,0.0206476370347481,-0.6402136911364162,0.2418252372858571,0.3374157815295107
bio,12,dependency,0.0218108606104757,0.018144385688299,-0.6494939578514473,0.2493934111267912,0.3672851235697082
bio,4,dependency,0.0192480789789674,0.0198045537313994,-0.5618148060405955,0.2493132539823943,0.2701111603163036
bio,0,pca,0.0215985594572974,0.0272261215848665,-0.6653684406888252,0.2370744040783713,0.273730850687214
bio,42,pca,0.0210552841753644,0.0205289095676704,-0.4464642555982459,0.2807245461964139,0.7934539979871582
bio,866,pca,0.0197007970920964,0.0199705996258439,-0.6603914697964987,0.2415055235226949,0.3354761070918803
bio,12,pca,0.0234203603045613,0.0213347479847131,-0.6909656413629943,0.247921037031155,0.3663052422743217
bio,4,pca,0.0206649324619302,0.0209552205039882,-0.6773759559089062,0.2407239996919445,0.2539147211640489
bio,0,density,0.0248364360601294,0.0239263915767272,-0.5020076796120289,0.2460655210649266,0.2904618871124351
bio,42,density,0.0220813086512042,0.0223667573037685,-0.1025466843709057,0.2907161782769596,0.807974498718977
bio,866,density,0.0229726292046846,0.0203113021493396,-0.4085328374423232,0.2534335986071941,0.3506347724035674
bio,12,density,0.0230227354000888,0.0194197126901617,-0.4048836675344729,0.2601713313191545,0.3863426657284007
bio,4,density,0.0220320696814679,0.0171548928791547,-0.4454863430822597,0.2529377762009115,0.2762557509921345
bio,0,cdf,0.0211113873029164,0.0250697999681327,-0.6867301055029327,0.2380314597896501,0.2753609474383148
bio,42,cdf,0.0214840463709597,0.0208339998681171,-0.4332906621343949,0.280194477707732,0.7948888249549211
bio,866,cdf,0.0204311299192554,0.0217785190462189,-0.6364383609855876,0.2451400543544806,0.3425459015895338
bio,12,cdf,0.0224582132171182,0.0211443111263946,-0.5100807024567735,0.2598803472869536,0.3792632344891043
bio,4,cdf,0.0219095055123462,0.0198375190078627,-0.6571098291406444,0.2460196275337069,0.264371980639065
