data_name,seed,train_prerank,train_time_seconds,epochs_trained,best_epoch,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf
households,0,marginal,139.73934412910603,125,109,3.3728365103403726,0.9530554711818695,0.650857001543045,0.08646500110626221,0.08787191783388455,0.13474142303069434,0.023905803139011066,0.06717412235836188,0.12978185713291168,0.13038486863176027
households,42,marginal,133.16932035202626,115,99,3.1947077910105386,0.9389451742172241,0.6473092138767242,0.10093112041552861,0.09192967042326927,0.1274439903597037,0.022573326403896015,0.06774173676967621,0.08597410842776299,0.15501329799493155
households,866,marginal,158.04769823199604,129,113,3.184825380643209,0.921905924876531,0.6317848265171051,0.10039105390508969,0.10329092293977737,0.11542271822690964,0.015622259040052692,0.07144416744510333,0.08041695567468803,0.151645099123319
households,12,marginal,145.40226215997245,120,104,3.16268781820933,0.9150999089082082,0.6075647870699564,0.09588538234432538,0.09152893597881,0.13924032698074976,0.022379852676143248,0.06888916219274203,0.10261594255765279,0.15661489963531494
households,4,marginal,165.39613404299598,128,112,3.212130347887675,0.9000019431114197,0.6044528583685557,0.09571666643023491,0.09648121148347855,0.1199166290462017,0.018994023247311514,0.06708124776681264,0.10270291939377785,0.15606156984965006
air,0,marginal,184.23908736393787,129,113,5.675500965118408,1.422970712184906,0.9892509758472443,0.09715733006596565,0.09425372630357742,0.19314474388957023,0.06453897096216679,0.07738458588719369,0.06967913880944251,0.15133537501096725
air,42,marginal,171.3080996639328,122,106,5.588666009902954,1.3906091094017028,0.9190268099308014,0.09928077161312103,0.09325238093733787,0.21039564162492752,0.04868135061115027,0.07438523843884468,0.08522021472454071,0.16290029138326645
air,866,marginal,164.99901276198216,117,101,5.386965560913086,1.3416643261909484,0.8120614528656006,0.0919115573167801,0.08444211781024932,0.20071361511945723,0.05212861243635416,0.07109594009816647,0.07792802378535271,0.1477013647556305
air,12,marginal,204.8669310369296,145,129,5.774096298217773,1.4073710441589355,0.9140857338905335,0.09322666451334953,0.09379881396889686,0.21176617592573166,0.059670811705291274,0.07438619323074817,0.09398258775472641,0.15163567662239075
air,4,marginal,210.91383034095634,148,132,5.533805799484253,1.4291288733482361,0.9583837747573852,0.10070952922105789,0.0951258584856987,0.19359708875417708,0.04936943706125021,0.07327138036489486,0.08383516818284989,0.1401968389749527
births1,0,marginal,149.11059326503891,109,93,1.0313689470291139,0.7014705538749695,0.8513527333736419,0.08484396860003471,0.08520919755101204,0.10272922366857529,0.10365635976195335,0.07929122745990753,0.1922086462378502,0.07249254733324051
births1,42,marginal,164.8494019289501,120,104,1.2011192083358764,0.717509263753891,0.8727620065212249,0.09254358857870101,0.08968919813632965,0.12215645313262939,0.12171582952141762,0.08376610949635506,0.2572470843791962,0.07796428054571151
births1,866,marginal,215.47247998893727,158,142,1.25381019115448,0.7182515025138855,0.8484003394842148,0.06882129572331905,0.06245600655674934,0.09268181324005127,0.09312313497066498,0.06550750210881233,0.1595192641019821,0.05906468629837036
births1,12,marginal,167.34721521101892,121,105,1.1563662767410279,0.7021162688732148,0.8139223873615264,0.08794380128383636,0.08967407196760177,0.11242998689413071,0.1131867989897728,0.08629518523812293,0.16409240067005157,0.07545756585896016
births1,4,marginal,221.37820380204357,162,146,1.3142273426055908,0.7190566480159759,0.8576959073543549,0.06844306997954845,0.07405519261956214,0.10794977769255638,0.10759875625371933,0.07302190102636814,0.17559928297996522,0.057460466772317885
births2,0,marginal,331.37880248902366,234,218,-4.774621200561524,0.9410139322280884,1.0103969007730484,0.18984172642230987,0.04024321213364601,0.06925609670579433,0.06963637880980969,0.11529964655637741,0.43484820425510406,0.21123021841049194
births2,42,marginal,378.3808539659949,271,255,-5.256670570373535,0.8563437104225159,0.7042841136455535,0.20536306947469712,0.04357420038431883,0.06490629464387894,0.08028294332325459,0.11524447724223137,0.42879373133182525,0.22641027867794036
births2,866,marginal,294.9984474910889,210,194,-4.9814468145370485,0.8756403028964996,0.8202547743916512,0.16715574264526367,0.052006022445857523,0.08115726485848426,0.07780169695615768,0.11013578996062279,0.39060869812965393,0.08357497379183769
births2,12,marginal,147.5602964949794,104,88,3.6243368268013,0.8669670343399047,0.8238394320011139,0.17168430238962173,0.05140877533704043,0.0799980491399765,0.06610897742211819,0.12120220735669136,0.34947075247764586,0.07910027503967285
births2,4,marginal,210.48819686099887,146,130,-3.8013977289199827,0.9410558104515075,0.8427076280117035,0.17895227372646333,0.0501881655305624,0.051506086625158785,0.07888380512595176,0.12090842574834823,0.38321058452129364,0.17775343507528304
wage,0,marginal,73.26254649704788,52,36,0.40231705978512766,0.6991989612579346,0.702562826871872,0.1341029867529869,0.0834210604429245,0.10680824965238571,0.10948247835040092,0.1221666656434536,0.42052541971206664,0.14024573415517808
wage,42,marginal,81.39875958103221,57,41,0.4398116856813431,0.7330113172531127,0.7590029299259186,0.13331584483385087,0.09755712673068047,0.09600750580430031,0.0988798439502716,0.12301596775650978,0.4159231632947922,0.14721586927771568
wage,866,marginal,74.68040175293572,52,36,0.3340600699186325,0.7020442306995391,0.7030511379241944,0.13434404358267785,0.07905662395060062,0.09915388524532318,0.10007724836468697,0.12029197141528129,0.4212669491767883,0.14771335422992707
wage,12,marginal,84.40327433007769,59,43,0.13779868744313717,0.6825951099395752,0.6715184032917023,0.13057292252779007,0.08054338544607162,0.10791940242052078,0.10972115099430084,0.1145097091794014,0.42415823638439176,0.13864628449082375
wage,4,marginal,86.06310374406166,59,43,0.5517587631940841,0.712484210729599,0.7347053050994873,0.13117251247167588,0.09289903864264488,0.09164764434099197,0.09191159680485725,0.12754578962922097,0.41714628636837003,0.14821869060397147
scm20d,0,marginal,117.68694492499344,75,59,7.899887800216675,2.2863705158233643,0.7807348147034645,0.07309959176927805,0.0754565130919218,0.14979959186166525,0.06746974820271134,0.03581712883897126,0.09312726464122534,0.08875463344156742
scm20d,42,marginal,119.29097839200404,76,60,7.767019629478455,2.3267472982406616,0.8013723939657211,0.07610718999058008,0.07851774152368307,0.15767978876829147,0.08758950047194958,0.03702336875721812,0.08953522518277168,0.08584917802363634
scm20d,866,marginal,110.43896264501382,68,52,7.395282447338104,2.308794856071472,0.8014639019966125,0.06429148185998201,0.0687826662324369,0.13248901907354593,0.07957389624789357,0.03852685168385506,0.08321302104741335,0.07404600782319903
scm20d,12,marginal,96.79107528494205,63,47,8.35208112001419,2.3427534699440002,0.8201396390795708,0.06371870823204517,0.06799324508756399,0.12655416131019592,0.08054605079814792,0.03881143592298031,0.09754315204918385,0.06358906114473939
scm20d,4,marginal,116.91145558806602,75,59,7.560141026973724,2.3356738090515137,0.815433144569397,0.0737664196640253,0.0760167888365686,0.1408673133701086,0.07010937668383121,0.03496294841170311,0.08021224290132523,0.07486683037132025
scm1d,0,marginal,137.89944152592216,84,68,11.317640622456869,1.9125512970818415,0.5458520617749956,0.06420566307173835,0.06738262292411593,0.1264700699183676,0.08345501331819428,0.039333963145812355,0.07412251002258724,0.07467454299330711
scm1d,42,marginal,140.1846823040396,86,70,5.97253614001804,2.042685627937317,0.6373867789904276,0.052356742322444916,0.05802450991339154,0.08852679116858377,0.05943894758820534,0.03771132520503468,0.07180874215232001,0.059762702220016055
scm1d,866,marginal,141.66329573397525,89,73,6.858479658762614,2.117644045088026,0.696499228477478,0.062149042470587626,0.06374482520752484,0.08203436185916264,0.06730458595686489,0.03884369548824099,0.055060283177428775,0.06832028345929252
scm1d,12,marginal,144.97710828494746,91,75,6.093445512983534,2.0873349242740207,0.6747572951846652,0.052829739120271474,0.055809636496835284,0.11034859054618412,0.06264727024568452,0.035804123928149544,0.07059359674652417,0.05489454252852334
scm1d,4,marginal,119.20582661195658,74,58,6.37229945924547,2.2078430122799344,0.7497821119096544,0.05840388933817545,0.06867967545986176,0.08633543716536628,0.07847791537642479,0.03730092404617204,0.07641946193244722,0.06241743473543061
wq,0,marginal,141.82192063098773,127,111,20.563560485839844,2.5378637313842773,0.988978922367096,0.15306523442268372,0.09036926180124283,0.30490851402282715,0.028495805338025093,0.07916244864463806,0.3325943350791931,0.2420097291469574
wq,42,marginal,30.643529398948886,27,11,21.105802536010742,2.5207128524780273,0.9572106599807739,0.18235354125499725,0.13074612617492676,0.3522178828716278,0.02013292908668518,0.09922938793897629,0.4378773272037506,0.24657851457595825
wq,866,marginal,81.93100288906135,73,57,23.941741943359375,2.736002206802368,1.146677851676941,0.16358821094036102,0.12638649344444275,0.3730055093765259,0.025461215525865555,0.10199208557605743,0.42707550525665283,0.24638983607292175
wq,12,marginal,30.77236082602758,27,11,113.69854736328125,2.574413299560547,0.9881760478019714,0.18555614352226257,0.1310001015663147,0.3632885217666626,0.017707262188196182,0.10189905017614365,0.4508962035179138,0.2470502108335495
wq,4,marginal,122.35763261502143,110,95,2144.67333984375,2.6646361351013184,1.082149624824524,0.16380499303340912,0.10001286119222641,0.34830188751220703,0.031037727370858192,0.09170477837324142,0.3958018720149994,0.2447860687971115
scpf,0,marginal,257.7288699550554,239,223,-4.9170613288879395,0.21899597346782684,0.19274182617664337,0.2120700478553772,0.21044902503490448,0.1226201057434082,0.08002294600009918,0.16297033429145813,0.3565554618835449,0.21855542063713074
scpf,42,marginal,229.94009921199176,215,199,-4.817673206329346,0.23606964945793152,0.1387215256690979,0.18599443137645721,0.19597062468528748,0.12637466192245483,0.0716937929391861,0.16563555598258972,0.3081592917442322,0.20102818310260773
scpf,866,marginal,314.1584110020194,292,276,-4.62830114364624,0.49448367953300476,0.964530348777771,0.1796506643295288,0.19845573604106903,0.11570508778095245,0.09020377695560455,0.13855117559432983,0.351565420627594,0.21291209757328033
scpf,12,marginal,268.2237816780107,245,229,-3.7840797901153564,0.8556072115898132,4.338780403137207,0.1913343071937561,0.20819725096225739,0.11786820739507675,0.07083895802497864,0.1316448450088501,0.37348681688308716,0.20262229442596436
scpf,4,marginal,267.7868527310202,246,230,-4.319380283355713,0.539567232131958,1.191481113433838,0.1589791625738144,0.15333202481269836,0.12564817070960999,0.083915576338768,0.1320156455039978,0.34868335723876953,0.14193330705165863
meps_21,0,marginal,183.80364337703213,109,93,-1.9432474002242088,0.39226647838950157,0.6417597103863955,0.10819343524053693,0.11645861389115453,0.05392128857783973,0.044374797376804054,0.09356033056974411,0.20732590183615685,0.16037689987570047
meps_21,42,marginal,140.80000776797533,83,67,-1.8453986197710037,0.3901714198291302,0.6423013461753726,0.11312192073091865,0.1257725264877081,0.04953189240768552,0.03711640392430127,0.0905144358985126,0.20005533564835787,0.1701514357700944
meps_21,866,marginal,142.3030574650038,82,66,-1.9811288490891457,0.387657193467021,0.6830845102667809,0.11321928957477212,0.13814239716157317,0.04977643000893295,0.04433083545882255,0.10572786256670952,0.20429715979844332,0.16712550912052393
meps_21,12,marginal,189.56635208404623,103,87,-1.794667936861515,0.38205656222999096,0.5646595489233732,0.10883867181837559,0.11614831443876028,0.050489895744249225,0.04390118445735425,0.0969866649247706,0.21561789140105247,0.15755043551325798
meps_21,4,marginal,110.5287826169515,64,48,-1.6671199947595596,0.4239396043121815,0.754168801009655,0.09888291265815496,0.12772510154172778,0.058213038835674524,0.04956077050883323,0.09014159208163619,0.2112711640074849,0.14088069600984454
meps_19,0,marginal,171.45738663198426,98,82,-1.9317941963672638,0.38590030185878277,0.684153476729989,0.106239371933043,0.12211537268012762,0.051414991496130824,0.041542663937434554,0.09513124264776707,0.20387189835309982,0.15650360006839037
meps_19,42,marginal,134.75687849102542,77,61,-1.8475523740053177,0.3797003384679556,0.6179915852844715,0.10851726587861776,0.1231146389618516,0.05495313531719148,0.04208400147035718,0.09024113975465298,0.1953257815912366,0.15476877987384796
meps_19,866,marginal,189.6435311830137,109,93,-2.064232788980007,0.36931424029171467,0.5892795231193304,0.11492740316316485,0.13156996900215745,0.061081400606781244,0.051115453941747546,0.10690406477078795,0.21079733222723007,0.17517536226660013
meps_19,12,marginal,240.20281661499757,132,116,-2.0218273028731346,0.34712408669292927,0.4616980105638504,0.09896108880639076,0.10813255421817303,0.0528941520024091,0.03660980041604489,0.08233580505475402,0.20869657211005688,0.14810609305277467
meps_19,4,marginal,162.86624834605027,94,78,-1.968200996518135,0.3858389835804701,0.6443333346396685,0.10809259861707687,0.10468542017042637,0.057574035599827766,0.043842948507517576,0.08461893163621426,0.21479320619255304,0.1518099419772625
meps_20,0,marginal,122.36939462798182,66,50,-1.716941581832038,0.42130602565076614,0.8840023825565974,0.07864918000996113,0.07641668679813544,0.05142176834245523,0.0319987992859549,0.0657397543804513,0.21938508417871264,0.10285125258896086
meps_20,42,marginal,166.19544535700697,87,71,-2.1032342778311834,0.3564896749125587,0.5613151573472552,0.11529065544406573,0.12995380866858694,0.060831021724475756,0.053575773309502334,0.11459273969133695,0.2376009358300103,0.16711773723363876
