data_name,prerank,pce,energy
households,marginal,0.0283365985378623,0.9529531995455424
households,mean,0.0270100673660635,0.9473343193531036
households,variance,0.0261519866374631,0.9523410399754842
households,dependency,0.022940162414064,0.9497885704040528
households,pca,0.0224174804364641,0.9530439972877502
households,density,0.0196990023056666,0.9494454165299734
households,cdf,0.0279394186412294,0.9465124209721884
air,marginal,0.0296923171728849,1.4317501664161685
air,mean,0.0240274004638195,1.4317745566368103
air,variance,0.0289356686174869,1.4281256794929504
air,dependency,0.0337359996512532,1.4307084679603577
air,pca,0.0274783255532383,1.426767098903656
air,density,0.0256134491413831,1.4348592519760133
air,cdf,0.039636018872261,1.4317655324935914
births1,marginal,0.0271025635302066,0.6982960224151611
births1,mean,0.0273597815074026,0.6981287956237793
births1,variance,0.0303268913179636,0.7008174598217011
births1,dependency,0.0250982481054961,0.696465915441513
births1,pca,0.0261041683144867,0.6974706470966339
births1,density,0.0269829329103231,0.6996009707450866
births1,cdf,0.0266634652391076,0.6983447194099426
births2,marginal,0.1275232948362827,0.9603951513767244
births2,mean,0.0560593370348215,0.9693156480789183
births2,variance,0.1094214744865894,0.974474197626114
births2,dependency,0.035015576891601,0.9702408969402312
births2,pca,0.061185248568654,0.9686993896961212
births2,density,0.0336753995157778,0.9641051590442656
births2,cdf,0.0805255584418773,0.9778253972530364
wage,marginal,0.0412280831485986,0.7147710084915161
wage,mean,0.0368809401988983,0.7092552185058594
wage,variance,0.0227888822555542,0.7088742017745971
wage,dependency,0.0256329574622213,0.7153323233127594
wage,pca,0.0349913001060485,0.7092841446399689
wage,density,0.0281376804225146,0.7178643107414245
wage,cdf,0.0365901201963424,0.7142735838890075
scm20d,marginal,0.0230412762612104,2.3209616243839264
scm20d,mean,0.0245644262759014,2.330900341272354
scm20d,variance,0.0811048289760947,2.321814000606537
scm20d,dependency,0.0481440867297351,2.3320408165454865
scm20d,pca,0.0441059181466698,2.3304991126060486
scm20d,density,0.0327440411783754,2.329047530889511
scm20d,cdf,0.0461412626318633,2.3295828700065613
scm1d,marginal,0.0273012878994147,2.091427114274767
scm1d,mean,0.0319007863808009,2.091830995347765
scm1d,variance,0.0458463862952258,2.0960652828216557
scm1d,dependency,0.0689748111698362,2.099821276134915
scm1d,pca,0.0415354929864406,2.1014521386888294
scm1d,density,0.0267998590651485,2.099057912826538
scm1d,cdf,0.0479438917504416,2.0808401240242853
sf2,marginal,0.0787033140659332,0.3352216780185699
sf2,mean,0.0423518829047679,0.3331160545349121
sf2,variance,0.1218914687633514,0.3333121240139007
sf2,dependency,0.1321432888507843,0.338304728269577
sf2,pca,0.0547892861068248,0.3347398340702057
sf2,density,0.030020672827959,0.3404029011726379
sf2,cdf,0.0683354437351226,0.3304344713687897
wq,marginal,0.0891956984996795,2.54910945892334
wq,mean,0.0352792032063007,2.5464019775390625
wq,variance,0.0458833575248718,2.530475616455078
wq,dependency,0.0439150892198085,2.521566152572632
wq,pca,0.0336934737861156,2.5218355655670166
wq,density,0.056954450905323,2.532187223434448
wq,cdf,0.2439841777086258,2.5164437294006348
scpf,marginal,0.102567158639431,0.24536636471748352
scpf,mean,0.036416128277778625,0.2445027083158493
scpf,variance,0.14743152260780334,0.2437913566827774
scpf,dependency,0.03595077991485596,0.24290812015533447
scpf,pca,0.049471430480480194,0.24416032433509827
scpf,density,0.0200132317841053,0.24510695040225983
scpf,cdf,0.028689069673419,0.24940377473831177
meps_21,marginal,0.05426319409161806,0.40097622387111187
meps_21,mean,0.031391266849823296,0.40234988182783127
meps_21,variance,0.05419109179638326,0.40126548521220684
meps_21,dependency,0.02929491177201271,0.4022321552038193
meps_21,pca,0.025788610568270087,0.4014825373888016
meps_21,density,0.02120819897390902,0.400848226621747
meps_21,cdf,0.02861570758977905,0.4018277581781149
meps_19,marginal,0.06596091971732676,0.3862802255898714
meps_19,mean,0.0308386996621266,0.3873435202986002
meps_19,variance,0.06475352635607123,0.3862831052392721
meps_19,dependency,0.03996016166638583,0.3858935348689556
meps_19,pca,0.036342165316455066,0.3857334814965725
meps_19,density,0.022770003939513117,0.3851114325225353
meps_19,cdf,0.027813995839096606,0.38743473775684834
meps_20,marginal,0.05627899430692196,0.422508685125245
meps_20,mean,0.025819918192509148,0.4216613239712185
meps_20,variance,0.05699496053987079,0.4216305630074607
meps_20,dependency,0.03470825393580728,0.42271792226367527
meps_20,pca,0.027615366296635732,0.4223216192589866
meps_20,density,0.027602738545586664,0.4227375355031755
meps_20,cdf,0.02536825815008746,0.4236008690463172
house,marginal,0.02188099973389636,0.6329114799914153
house,mean,0.025797730514212795,0.6322786419287972
house,variance,0.02456708564220563,0.6312937140464783
house,dependency,0.02479827979012676,0.6316337637279344
house,pca,0.02419087825262028,0.6332972205203512
house,density,0.02317359399698351,0.6330836441205896
house,cdf,0.022601639123066612,0.6354912338049515
bio,marginal,0.020195756691928003,0.2278577916178049
bio,mean,0.02199033232332737,0.22846637198738023
bio,variance,0.02366338452945153,0.22768688201904297
bio,dependency,0.02305517783936332,0.22774063518234328
bio,pca,0.02163964362048051,0.22799919867048077
bio,density,0.02096952497959137,0.22820094549188427
bio,cdf,0.02390104137799319,0.2282725733284857
blog_data,marginal,0.05985220597457078,0.6160784666821107
blog_data,mean,0.023678210753379232,0.6158816501245661
blog_data,variance,0.0357700284507315,0.6150811920731755
blog_data,dependency,0.03440265951015181,0.6155460749642324
blog_data,pca,0.026799889770731077,0.6148374575679585
blog_data,density,0.02205036733678337,0.6156649933022967
blog_data,cdf,0.02187738308714608,0.6159154105994661
calcofi,marginal,0.0204131349709918,0.4199483565234837
calcofi,mean,0.020308324983519574,0.41997678277372313
calcofi,variance,0.01925283672773287,0.41997202269795564
calcofi,dependency,0.01939977745832719,0.42018521818168025
calcofi,pca,0.01986897090536018,0.4198732216756384
calcofi,density,0.023769495055419903,0.4199559535173809
calcofi,cdf,0.02022908071785805,0.4200927725672221
ansur2,marginal,0.03503726888448,0.5300950109958649
ansur2,mean,0.03677218081429601,0.5285835266113281
ansur2,variance,0.02454319503158331,0.531700611114502
ansur2,dependency,0.02895059622824192,0.5288799107074738
ansur2,pca,0.0307138217613101,0.5263433456420898
ansur2,density,0.024939958937466145,0.527239203453064
ansur2,cdf,0.041395834647119045,0.5246875286102295
taxi,marginal,0.0217126043114279,0.6866862288543156
taxi,mean,0.023277528224779027,0.686301554100854
taxi,variance,0.02566839601578457,0.6835348333631243
taxi,dependency,0.021582327862935406,0.6848073618752616
taxi,pca,0.022138509154319762,0.6848151573113033
taxi,density,0.020634219037102802,0.6848526230880192
taxi,cdf,0.022498072031885384,0.6854490424905505
