train_prerank,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf,n
cdf,-1.838 ± 0.206,0.393 ± 0.027,0.697 ± 0.133,0.094 ± 0.015,0.080 ± 0.017,0.060 ± 0.006,0.050 ± 0.011,0.074 ± 0.015,0.231 ± 0.019,0.097 ± 0.024,5
density,-1.849 ± 0.192,0.399 ± 0.029,0.712 ± 0.156,0.115 ± 0.010,0.119 ± 0.012,0.055 ± 0.003,0.046 ± 0.005,0.103 ± 0.011,0.193 ± 0.008,0.175 ± 0.016,5
dependency,-1.858 ± 0.141,0.388 ± 0.020,0.687 ± 0.137,0.119 ± 0.011,0.122 ± 0.010,0.057 ± 0.002,0.048 ± 0.004,0.105 ± 0.008,0.206 ± 0.018,0.179 ± 0.018,5
marginal,-1.814 ± 0.180,0.401 ± 0.028,0.715 ± 0.132,0.099 ± 0.017,0.101 ± 0.023,0.057 ± 0.004,0.046 ± 0.008,0.091 ± 0.021,0.216 ± 0.016,0.136 ± 0.028,5
mean,-1.756 ± 0.253,0.408 ± 0.038,0.728 ± 0.172,0.100 ± 0.005,0.095 ± 0.008,0.058 ± 0.003,0.049 ± 0.002,0.087 ± 0.009,0.229 ± 0.022,0.125 ± 0.015,5
pca,-1.786 ± 0.176,0.396 ± 0.020,0.703 ± 0.124,0.098 ± 0.012,0.095 ± 0.012,0.060 ± 0.003,0.052 ± 0.004,0.088 ± 0.009,0.218 ± 0.021,0.124 ± 0.014,5
variance,-1.843 ± 0.131,0.392 ± 0.029,0.695 ± 0.148,0.120 ± 0.006,0.123 ± 0.006,0.057 ± 0.002,0.049 ± 0.003,0.111 ± 0.007,0.209 ± 0.009,0.179 ± 0.010,5
