train_prerank,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf,n
dependency,0.570 ± 0.008,0.420 ± 0.001,0.331 ± 0.002,0.077 ± 0.004,0.083 ± 0.007,0.068 ± 0.006,0.071 ± 0.006,0.076 ± 0.003,0.062 ± 0.008,0.117 ± 0.006,5
marginal,0.571 ± 0.006,0.420 ± 0.001,0.331 ± 0.002,0.072 ± 0.002,0.074 ± 0.002,0.073 ± 0.003,0.077 ± 0.004,0.072 ± 0.003,0.066 ± 0.008,0.108 ± 0.003,5
mean,0.571 ± 0.006,0.420 ± 0.001,0.331 ± 0.002,0.069 ± 0.001,0.066 ± 0.002,0.071 ± 0.004,0.075 ± 0.004,0.068 ± 0.001,0.068 ± 0.004,0.101 ± 0.002,5
pca,0.570 ± 0.006,0.420 ± 0.001,0.331 ± 0.002,0.073 ± 0.002,0.076 ± 0.003,0.072 ± 0.003,0.076 ± 0.003,0.072 ± 0.001,0.060 ± 0.005,0.110 ± 0.003,5
variance,0.572 ± 0.002,0.420 ± 0.001,0.331 ± 0.002,0.074 ± 0.002,0.079 ± 0.002,0.068 ± 0.003,0.072 ± 0.003,0.073 ± 0.001,0.060 ± 0.002,0.113 ± 0.003,5
