train_prerank,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf,n
cdf,7.732 ± 0.285,2.285 ± 0.068,0.775 ± 0.052,0.069 ± 0.005,0.074 ± 0.004,0.135 ± 0.016,0.078 ± 0.016,0.037 ± 0.001,0.085 ± 0.003,0.077 ± 0.007,5
density,11.943 ± 9.477,2.313 ± 0.045,0.796 ± 0.032,0.068 ± 0.004,0.072 ± 0.004,0.138 ± 0.018,0.075 ± 0.010,0.036 ± 0.002,0.083 ± 0.006,0.075 ± 0.007,5
dependency,7.988 ± 0.728,2.291 ± 0.021,0.783 ± 0.018,0.071 ± 0.005,0.075 ± 0.006,0.140 ± 0.008,0.077 ± 0.010,0.038 ± 0.002,0.084 ± 0.004,0.078 ± 0.008,5
marginal,7.795 ± 0.366,2.320 ± 0.023,0.804 ± 0.015,0.070 ± 0.006,0.073 ± 0.005,0.141 ± 0.013,0.077 ± 0.008,0.037 ± 0.002,0.089 ± 0.007,0.077 ± 0.010,5
mean,10.202 ± 4.555,2.315 ± 0.038,0.802 ± 0.022,0.076 ± 0.005,0.082 ± 0.007,0.149 ± 0.007,0.075 ± 0.013,0.037 ± 0.001,0.089 ± 0.003,0.083 ± 0.005,5
pca,7.730 ± 0.347,2.320 ± 0.080,0.802 ± 0.058,0.070 ± 0.009,0.077 ± 0.011,0.133 ± 0.015,0.083 ± 0.008,0.036 ± 0.001,0.084 ± 0.003,0.074 ± 0.006,5
variance,8.034 ± 0.716,2.305 ± 0.043,0.793 ± 0.029,0.073 ± 0.007,0.078 ± 0.009,0.142 ± 0.018,0.075 ± 0.010,0.037 ± 0.001,0.087 ± 0.005,0.081 ± 0.012,5
