train_prerank,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf,n
cdf,146.272 ± 242.497,2.610 ± 0.090,1.033 ± 0.076,0.167 ± 0.012,0.114 ± 0.018,0.347 ± 0.021,0.028 ± 0.011,0.094 ± 0.007,0.409 ± 0.040,0.246 ± 0.001,5
density,74.552 ± 112.735,2.602 ± 0.089,1.031 ± 0.078,0.165 ± 0.012,0.107 ± 0.014,0.343 ± 0.014,0.029 ± 0.009,0.093 ± 0.007,0.393 ± 0.037,0.245 ± 0.002,5
dependency,41.595 ± 35.329,2.599 ± 0.079,1.029 ± 0.073,0.166 ± 0.017,0.116 ± 0.021,0.342 ± 0.023,0.027 ± 0.002,0.094 ± 0.010,0.387 ± 0.055,0.245 ± 0.002,5
marginal,464.797 ± 939.922,2.607 ± 0.091,1.033 ± 0.079,0.170 ± 0.014,0.116 ± 0.019,0.348 ± 0.026,0.025 ± 0.006,0.095 ± 0.010,0.409 ± 0.047,0.245 ± 0.002,5
mean,155.141 ± 290.514,2.606 ± 0.095,1.033 ± 0.078,0.166 ± 0.014,0.115 ± 0.012,0.347 ± 0.020,0.024 ± 0.005,0.091 ± 0.006,0.398 ± 0.036,0.246 ± 0.001,5
pca,502.231 ± 1073.919,2.605 ± 0.087,1.033 ± 0.075,0.165 ± 0.014,0.113 ± 0.010,0.344 ± 0.019,0.026 ± 0.009,0.094 ± 0.008,0.393 ± 0.048,0.245 ± 0.002,5
variance,26.196 ± 9.271,2.600 ± 0.091,1.031 ± 0.077,0.166 ± 0.014,0.116 ± 0.008,0.345 ± 0.017,0.029 ± 0.008,0.092 ± 0.004,0.392 ± 0.035,0.245 ± 0.001,5
