train_prerank,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf,n
cdf,1.255 ± 0.160,0.708 ± 0.012,0.844 ± 0.024,0.080 ± 0.007,0.081 ± 0.007,0.109 ± 0.008,0.111 ± 0.009,0.078 ± 0.005,0.191 ± 0.043,0.068 ± 0.007,5
density,1.490 ± 0.358,0.712 ± 0.014,0.849 ± 0.025,0.080 ± 0.005,0.079 ± 0.006,0.111 ± 0.010,0.112 ± 0.008,0.078 ± 0.004,0.159 ± 0.029,0.067 ± 0.006,5
dependency,1.148 ± 0.116,0.708 ± 0.011,0.848 ± 0.026,0.081 ± 0.004,0.082 ± 0.008,0.105 ± 0.010,0.106 ± 0.011,0.078 ± 0.005,0.198 ± 0.018,0.071 ± 0.004,5
marginal,1.191 ± 0.107,0.712 ± 0.009,0.849 ± 0.022,0.081 ± 0.011,0.080 ± 0.012,0.108 ± 0.011,0.108 ± 0.011,0.078 ± 0.008,0.190 ± 0.040,0.068 ± 0.010,5
mean,1.147 ± 0.194,0.709 ± 0.010,0.844 ± 0.019,0.079 ± 0.007,0.079 ± 0.008,0.108 ± 0.010,0.110 ± 0.010,0.077 ± 0.004,0.195 ± 0.026,0.068 ± 0.002,5
pca,1.412 ± 0.392,0.712 ± 0.010,0.851 ± 0.016,0.077 ± 0.006,0.078 ± 0.005,0.110 ± 0.007,0.111 ± 0.006,0.077 ± 0.004,0.183 ± 0.044,0.068 ± 0.007,5
variance,1.238 ± 0.109,0.709 ± 0.010,0.843 ± 0.025,0.082 ± 0.008,0.082 ± 0.007,0.104 ± 0.009,0.104 ± 0.009,0.079 ± 0.004,0.180 ± 0.024,0.070 ± 0.007,5
