train_prerank,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf,n
cdf,2.623 ± 3.567,0.565 ± 0.083,0.533 ± 0.117,0.099 ± 0.009,0.120 ± 0.003,0.099 ± 0.008,0.103 ± 0.006,0.109 ± 0.009,0.126 ± 0.047,0.096 ± 0.016,5
density,1.963 ± 2.229,0.569 ± 0.080,0.541 ± 0.117,0.095 ± 0.010,0.119 ± 0.006,0.097 ± 0.009,0.100 ± 0.010,0.106 ± 0.009,0.116 ± 0.048,0.093 ± 0.014,5
dependency,4.452 ± 7.257,0.564 ± 0.078,0.537 ± 0.120,0.101 ± 0.008,0.123 ± 0.004,0.100 ± 0.008,0.104 ± 0.006,0.109 ± 0.006,0.125 ± 0.044,0.098 ± 0.014,5
marginal,5.389 ± 7.054,0.558 ± 0.068,0.522 ± 0.091,0.101 ± 0.009,0.120 ± 0.005,0.098 ± 0.005,0.102 ± 0.004,0.110 ± 0.008,0.120 ± 0.049,0.099 ± 0.015,5
mean,4.618 ± 5.501,0.558 ± 0.066,0.523 ± 0.086,0.098 ± 0.009,0.116 ± 0.007,0.101 ± 0.007,0.104 ± 0.006,0.106 ± 0.009,0.134 ± 0.053,0.094 ± 0.017,5
pca,6.998 ± 13.341,0.559 ± 0.064,0.523 ± 0.086,0.101 ± 0.007,0.118 ± 0.005,0.098 ± 0.006,0.101 ± 0.007,0.109 ± 0.006,0.124 ± 0.049,0.097 ± 0.011,5
variance,6.911 ± 12.250,0.564 ± 0.079,0.529 ± 0.111,0.098 ± 0.012,0.116 ± 0.007,0.088 ± 0.004,0.093 ± 0.006,0.105 ± 0.009,0.122 ± 0.051,0.096 ± 0.016,5
