train_prerank,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf,n
cdf,-0.545 ± 0.438,0.248 ± 0.024,0.404 ± 0.230,0.046 ± 0.006,0.031 ± 0.009,0.041 ± 0.006,0.048 ± 0.006,0.043 ± 0.009,0.040 ± 0.011,0.061 ± 0.027,5
density,-0.369 ± 0.788,0.252 ± 0.032,0.405 ± 0.238,0.051 ± 0.009,0.049 ± 0.009,0.042 ± 0.006,0.048 ± 0.006,0.055 ± 0.006,0.032 ± 0.004,0.093 ± 0.021,5
dependency,-0.626 ± 0.195,0.248 ± 0.021,0.402 ± 0.225,0.059 ± 0.005,0.069 ± 0.005,0.039 ± 0.005,0.045 ± 0.006,0.067 ± 0.006,0.042 ± 0.011,0.117 ± 0.010,5
marginal,-0.660 ± 0.182,0.246 ± 0.022,0.400 ± 0.226,0.054 ± 0.005,0.051 ± 0.006,0.044 ± 0.007,0.051 ± 0.007,0.058 ± 0.004,0.037 ± 0.005,0.101 ± 0.005,5
mean,-0.687 ± 0.158,0.244 ± 0.017,0.396 ± 0.213,0.052 ± 0.005,0.031 ± 0.002,0.043 ± 0.006,0.050 ± 0.007,0.046 ± 0.005,0.038 ± 0.006,0.080 ± 0.007,5
pca,-0.733 ± 0.121,0.241 ± 0.016,0.393 ± 0.218,0.054 ± 0.005,0.042 ± 0.004,0.043 ± 0.004,0.050 ± 0.004,0.053 ± 0.004,0.039 ± 0.005,0.095 ± 0.007,5
variance,-0.665 ± 0.265,0.245 ± 0.023,0.398 ± 0.230,0.056 ± 0.004,0.055 ± 0.003,0.039 ± 0.003,0.045 ± 0.004,0.060 ± 0.002,0.042 ± 0.009,0.106 ± 0.006,5
