data_group,data_name,lambda_reg,pce,nll,energy
camehl,households,0.003536403119272542,0.026604365557432175,3.30002768834432,0.9408130049705504
cevid,air,1.2410318666128497,0.022144734859466553,5.458779493967692,1.3198477029800415
cevid,births1,0.016640155453622858,0.02702968940138817,1.2403739392757416,0.6686673164367676
cevid,births2,0.06701521675295771,0.1151840314269066,-4.310126701990764,0.873320996761322
cevid,wage,0.0012072959849163606,0.023034721612930294,0.6924910793701807,0.6973520517349243
mulan,scm20d,3.094539954608956,0.057932447642087936,7.69779405593872,2.25736665725708
mulan,rf2,0.20935587078105705,0.026936179026961327,124.99804950356484,1.2342790365219116
mulan,rf1,1.2864699232257908,0.05093928053975105,1824.98121342659,1.365615963935852
mulan,scm1d,0.0010441233878981677,0.10305952280759811,9.631953525543214,2.1512691974639893
mulan,atp1d,0.4666405141301824,0.17000001668930054,2.5447072982788086,0.8499788641929626
mulan,atp7d,0.18464557287549876,0.3167189061641693,7.3287034034729,1.511534333229065
mulan,oes97,0.015869029079293318,0.4066666662693024,10.65744400024414,1.5776880979537964
mulan,oes10,0.4399698345455773,0.42799997329711914,15.970117568969728,2.0126335620880127
mulan,jura,1.076032580061905,0.1662857085466385,2.700897455215454,0.8241422176361084
mulan,sf1,4.048987081697651,0.4170075953006744,2.7236063480377197,0.6303489208221436
mulan,sf2,0.18727747134422057,0.29295027256011963,705135509504,94340.3515625
mulan,wq,4.816902293692161,0.19237276911735535,23.346426010131836,2.825759172439575
mulan,enb,9.719753241822886,0.03833997622132301,0.16145603358745575,0.37104570865631104
mulan,slump,0.005594586325870387,0.11499999463558196,2.937329053878784,1.0604878664016724
mulan,osales,0.0012240128943921012,0.4999999105930328,11279.025390625,31853.06640625
mulan,scpf,5.446364344884683,0.10565656423568726,-3.8415322303771977,0.4379834532737732
feldman,meps_21,1.6647887942609176,0.026064708828926086,-1.314480221271515,0.3860459327697754
feldman,meps_19,1.9777100653313977,0.01697022281587124,-1.5296199679374696,0.37056347727775574
feldman,meps_20,0.4399698345455773,0.03994022309780121,-1.1395361771186192,0.3656080663204193
feldman,house,0.0027313345912937342,0.020347250625491142,0.5161840702096622,0.5014691352844238
feldman,bio,0.005943183137227181,0.024150697514414787,-0.77932787993375,0.23971807956695557
feldman,blog_data,0.002145823538272686,0.03740059584379196,-0.9321059569334372,0.5975683927536011
del,barrio_calcofi,0.8964281058707412,0.020616969093680385,0.5668371656104593,0.42088043689727783
del,barrio_ansur2,0.06701521675295771,0.027272729203104973,1.6847280263900757,0.5150995850563049
wang,taxi,0.571961846909115,0.01972541026771069,1.6992532636808313,0.6801252961158752
wang,energy,0.05479908411082407,0.06425970047712326,0.516153872013092,0.4195168912410736
