data_group,data_name,lambda_reg,pce,nll,energy
camehl,households,0.01119658329371279,0.02306363359093666,3.2677032947540283,0.9392261505126953
cevid,air,0.01207494191478923,0.021950464695692062,5.47972830136617,1.3387750387191772
cevid,births1,0.48189266891914556,0.029294569045305252,1.410162627696991,0.6746236085891724
cevid,births2,0.05366543227663675,0.0872015506029129,-5.164887507756551,0.8721497058868408
cevid,wage,0.10745588721667637,0.025636114180088043,0.5221099257469177,0.6992311477661133
mulan,scm20d,0.2537815508265665,0.026133252307772636,7.984758949279785,2.143097400665283
mulan,rf2,6.351221010640703,0.044030796736478806,3.7137717962265016,1.0224590301513672
mulan,rf1,6.351221010640703,0.036114901304244995,4.980430173873901,0.9237747192382812
mulan,scm1d,0.0017073967431528124,0.022665930911898613,6.4324664115905765,2.024287700653076
mulan,atp1d,0.11799844509003678,0.07228957116603851,2.812260150909424,1.0111087560653687
mulan,atp7d,9.639757903159524,0.07091373950242996,6.210654258728027,1.3649723529815674
mulan,oes97,0.8471801418819978,0.09304924309253693,13.11928939819336,1.4448853731155396
mulan,oes10,7.553503645583182,0.07273831963539124,13.351849555969238,1.7955840826034546
mulan,jura,0.0012240128943921012,0.055345840752124786,2.5993921756744385,0.8017705082893372
mulan,sf1,0.003014448423453635,0.09402567148208618,-0.9539214372634888,0.4525376558303833
mulan,sf2,0.004207988669606638,0.1788472831249237,695937073152.0,94340.34375
mulan,wq,0.01715386514729457,0.11978361010551453,23.248210906982422,2.8219850063323975
mulan,enb,0.21384760518806495,0.028377192094922066,-0.21090668439865112,0.3398599624633789
mulan,slump,9.505035761014994,0.10083502531051636,2.916093587875366,1.016549825668335
mulan,osales,0.0017073967431528124,0.19397978484630585,42620.88671875,31354.005859375
mulan,scpf,5.954609269183785,0.08908971399068832,-5.74167537689209,0.40310415625572205
feldman,meps_21,0.009258725835537017,0.025834951549768448,-1.6602473139762879,0.3884946405887604
feldman,meps_19,0.3186224627157195,0.027028372511267662,-1.943722176551819,0.35986167192459106
feldman,meps_20,2.9154431891537547,0.03914988040924072,-2.04994069536527,0.36462831497192383
feldman,house,0.03148911647956861,0.02283896692097187,0.47657029032707215,0.5026847720146179
feldman,bio,0.011986274130138936,0.02407734841108322,-0.8489594932864694,0.23581381142139435
feldman,blog_data,0.679657809075816,0.027328766882419586,-0.8102601552620913,0.6336100697517395
del_barrio,calcofi,0.0027026861856882163,0.020264726132154465,0.5709778149656317,0.4207667410373688
del_barrio,ansur2,0.2434773688827541,0.013989899307489395,1.6535530090332031,0.5155699849128723
wang,taxi,0.3625056679023197,0.021016815677285194,1.6520749356435693,0.6811392307281494
wang,energy,0.5761864473413695,0.0259210504591465,0.38038399815559387,0.42382246255874634
