data_group,data_name,lambda_reg,pce,nll,energy
camehl,households,0.003524143452380358,0.0225086510181427,3.3140520254770913,0.9353510737419128
cevid,air,0.9759363784784576,0.023213084787130356,5.405299663543701,1.347648859024048
cevid,births1,2.5009014086855568,0.03554278612136841,0.9845479528109232,0.6666463613510132
cevid,births2,0.18929493558413424,0.06295281648635864,-4.783033132553101,0.8730349540710449
cevid,wage,0.4666405141301824,0.018039070069789886,0.432610126833121,0.699683427810669
mulan,scm20d,0.4399698345455773,0.034203674644231796,7.562907695770264,2.223573684692383
mulan,rf2,1.2864699232257908,0.09873028844594955,585.3007291674614,1.285919427871704
mulan,rf1,0.06701521675295771,0.0816870927810669,2965.7726125240324,1.4513800144195557
mulan,scm1d,0.047511338252598935,0.033039793372154236,7.8596110343933105,2.0489184856414795
mulan,atp1d,0.0016331292127609962,0.09212122112512589,4.6462578773498535,1.0298069715499878
mulan,atp7d,0.05710426005785339,0.04714385420084,7.043440341949463,1.4008631706237793
mulan,oes97,0.002220431761326404,0.12090909481048584,10.691036224365234,1.5428186655044556
mulan,oes10,3.75517723821267,0.12097726762294768,13.695073127746582,1.865517854690552
mulan,jura,0.16454901312589038,0.04893795028328896,2.655278205871582,0.8015280365943909
mulan,sf1,0.4399698345455773,0.1989867389202118,3.195683240890503,0.6363579630851746
mulan,sf2,5.213557994267059,0.14666475355625153,656648241152,94340.3203125
mulan,wq,0.16630591317256532,0.08662664145231247,23.763736724853516,2.839446544647217
mulan,enb,5.213557994267059,0.04780701547861099,0.6245741248130798,0.4825760126113891
mulan,slump,0.07924355279864327,0.1830202043056488,3.455913543701172,1.127970576286316
mulan,osales,0.1147840795775376,0.1883838176727295,11176.701171875,33380.5078125
mulan,scpf,0.0035995278932154503,0.05312326177954674,-4.039234161376953,0.4514702558517456
feldman,meps_21,5.213557994267059,0.025860914960503575,-1.5951802492141725,0.41030216217041016
feldman,meps_19,0.0756201940898073,0.02193990908563137,-2.030521273612976,0.36341431736946106
feldman,meps_20,0.0022391546009339213,0.03699455410242081,-1.6695746580759685,0.3604775667190552
feldman,house,4.446626740420256,0.025454239919781685,0.5507773021856944,0.520583987236023
feldman,bio,5.213557994267059,0.02824595384299755,-0.77599257756682,0.2385677993297577
feldman,blog_data,5.213557994267059,0.0322122648358345,-0.3239545485912225,0.6448352336883545
del,barrio_calcofi,0.002564909833170704,0.02065427787601948,0.5737784070077379,0.42092782258987427
del,barrio_ansur2,0.008510568824164599,0.017828281968832016,1.6627628803253174,0.5126821994781494
wang,taxi,5.213557994267059,0.022085189819335938,1.6958842433017234,0.6824461221694946
wang,energy,9.519842794504806,0.03277113288640976,0.5910996198654175,0.4729797542095184
