data_group,data_name,lambda_reg,pce,nll,energy
camehl,households,0.7631550861559512,0.01875954121351242,3.3225324948628745,0.931398868560791
cevid,air,0.0010558774326113126,0.021614115685224533,5.411540349324544,1.3329185247421265
cevid,births1,0.03148911647956861,0.4899999797344208,1.4234483242034912,0.6749758720397949
cevid,births2,0.13288739867722832,0.04828104376792908,-4.191370566685994,0.8771810531616211
cevid,wage,0.03148911647956861,0.4899999797344208,0.5398039817810059,0.706079363822937
mulan,scm20d,0.32401997265097576,0.04684356972575188,7.7505748748779295,2.2396509647369385
mulan,rf2,0.004207988669606638,0.03355306014418602,531.5214855194092,0.9784029126167297
mulan,rf1,0.008073040147042835,0.057014744728803635,255.31030822992324,1.0864657163619995
mulan,scm1d,0.004207053950287938,0.04985067993402481,6.3792742729187015,1.736575722694397
mulan,atp1d,0.06161357005184284,0.034949496388435364,2.4377238750457764,0.8921454548835754
mulan,atp7d,0.09320389577311254,0.034277260303497314,5.414426803588867,1.329049825668335
mulan,oes97,0.8471801418819978,0.02181817963719368,12.181025505065918,1.5490856170654297
mulan,oes10,0.17530652721365736,0.0330631285905838,23.70847511291504,2.1615371704101562
mulan,jura,5.169492609458652,0.03087734617292881,2.5946550369262695,0.7939561605453491
mulan,sf1,0.017594678649531802,0.07278408855199814,-0.8296307325363159,0.45197877287864685
mulan,sf2,0.6108527536301808,0.3226529359817505,705493925888.0,94340.328125
mulan,wq,6.351221010640703,0.024048976600170135,23.77935218811035,2.8687524795532227
mulan,enb,0.004207988669606638,0.4899999797344208,-0.3525662422180176,0.3418993353843689
mulan,slump,4.766463820055895,0.044727277010679245,3.034304618835449,0.9692638516426086
mulan,osales,0.3757084358753147,0.18381817638874054,35365.4765625,36524.57421875
mulan,scpf,1.2607915792814832,0.041137926280498505,-5.229216575622559,0.4014413058757782
feldman,meps_21,0.03148911647956861,0.4899999797344208,-1.6468951225280761,0.39291489124298096
feldman,meps_19,0.03148911647956861,0.4899999797344208,-1.866343379020691,0.3660304546356201
feldman,meps_20,0.8471801418819978,0.4899999797344208,-1.6846152345339458,0.3711031675338745
feldman,house,0.03148911647956861,0.4899999797344208,0.37632158945004146,0.49941009283065796
feldman,bio,0.03148911647956861,0.49000000953674316,-0.8003038825357661,0.2384285032749176
feldman,blog_data,0.03148911647956861,0.4899999797344208,-0.7150913732938278,0.6212252974510193
del_barrio,calcofi,0.03148911647956861,0.4899999797344208,0.5731383056294654,0.42091813683509827
del_barrio,ansur2,0.03148911647956861,0.4899999797344208,1.664422869682312,0.512137770652771
wang,taxi,0.03148911647956861,0.4899999797344208,1.6762962108073027,0.6823498606681824
wang,energy,0.03148911647956861,0.4899999797344208,0.26510801911354065,0.43393588066101074
