data_name,seed,prerank,pce,nll,energy,mse,train_time_seconds,epochs_trained,best_epoch
wage,0.0,mean,0.0289334468543529,2.296748852729797,0.7065846741199493,0.6635639727115631,212.0013216980733,177.0,161.0
wage,42.0,mean,0.0960762560367584,2.9188573598861693,0.9088587164878844,1.0194829523563385,26.40256432583556,21.0,5.0
wage,866.0,mean,0.0240639885887503,0.4366843074560165,0.7435115218162537,0.746923291683197,96.37943536788224,75.0,59.0
wage,12.0,mean,0.0288947476074099,0.773972450196743,0.7305180847644805,0.7201706528663635,116.84427172411232,92.0,76.0
wage,4.0,mean,0.0921048611402511,2.848583459854126,0.8950263559818268,0.9957684874534608,29.719257530989125,23.0,7.0
households,0.0,mean,0.0229493627945582,3.4251596530278525,0.980897625287374,0.6758695642153422,164.65965273207985,147.0,131.0
households,42.0,mean,0.0208699355522791,3.455038070678711,0.9572786192099252,0.6407905320326487,193.55915383598767,167.0,151.0
households,866.0,mean,0.0194601652522881,3.344230055809021,0.9444949726263682,0.6397796968619028,212.172122013988,183.0,167.0
households,12.0,mean,0.0222223781359692,3.431966702143351,0.9435592691103616,0.6254533380270004,170.2569344700314,148.0,132.0
households,4.0,mean,0.0324393998210628,3.199079791704813,0.9317727585633596,0.6236962080001831,211.2396464438644,181.0,173.0
air,0.0,mean,0.0289458261802792,5.909492683410645,1.4443884134292602,0.9947441458702088,189.133163878927,136.0,120.0
air,42.0,mean,0.0287653544917702,5.799880695343018,1.4259292840957642,0.938666695356369,177.09413070091978,128.0,112.0
air,866.0,mean,0.0236670892685651,5.513345623016358,1.3832945466041564,0.8275601148605347,158.3833225609269,114.0,104.0
air,12.0,mean,0.0288846123032271,5.885408878326416,1.4457923293113708,0.9279724597930908,184.88186674192548,135.0,119.0
air,4.0,mean,0.0241618405096232,5.718208456039429,1.4533749580383302,0.971560126543045,195.4802764148917,140.0,124.0
births1,0.0,mean,0.0302619387395679,1.185820370912552,0.7113074481487274,0.8437059104442597,318.3439061611425,238.0,222.0
births1,42.0,mean,0.022302687074989,1.3026573538780213,0.7441838920116425,0.8883771657943725,261.8288422420155,198.0,182.0
births1,866.0,mean,0.0250606917310506,1.3411486983299254,0.7360753417015076,0.8551455557346344,255.84051804803312,194.0,178.0
births1,12.0,mean,0.0266492327675223,1.315307378768921,0.729448002576828,0.8415579199790955,212.33849383494817,160.0,144.0
births1,4.0,mean,0.0199259308166801,1.474347460269928,0.7397431850433349,0.9046076834201812,239.9447202379816,185.0,169.0
births2,0.0,mean,0.025289823487401,-3.379870319366455,0.971243155002594,1.1144977748394012,264.7596543589607,202.0,186.0
births2,42.0,mean,0.0230320102535188,-4.151099443435669,0.8539165079593658,0.7209343433380127,278.37717104610056,211.0,195.0
births2,866.0,mean,0.0234795060008764,-4.486656761169433,0.8980498790740967,0.904055804014206,193.6846823010128,146.0,130.0
births2,12.0,mean,0.0341983549296855,-4.860814809799194,0.8452169328927994,0.8469432562589645,294.8988749529235,226.0,210.0
births2,4.0,mean,0.035149532277137,-3.4441248416900634,0.9581671953201294,0.9128764569759368,184.6708574690856,140.0,124.0
scm20d,0.0,mean,0.0225621769204735,7.987113356590271,2.285214066505432,0.7296053990721703,98.2826169738546,75.0,59.0
scm20d,42.0,mean,0.0225489424774423,8.305431842803955,2.216563314199448,0.6896637678146362,103.08598845708184,78.0,62.0
scm20d,866.0,mean,0.0257852785289287,7.095003008842468,2.2442459762096405,0.7302088215947151,118.84767782804556,90.0,74.0
scm20d,12.0,mean,0.0288298996165394,8.209470272064209,2.346953272819519,0.7967006117105484,85.93264482007362,65.0,49.0
scm20d,4.0,mean,0.0310097550973296,7.573107838630676,2.2641758620738983,0.7409401834011078,94.7884472408332,71.0,55.0
scm1d,0.0,mean,0.0241776622003979,6.332113530900744,1.970626367463006,0.5671300027105544,104.43480775086208,74.0,58.0
scm1d,42.0,mean,0.0240449094110065,6.875254948933919,1.6887350744671292,0.4264715744389428,160.26063378015533,112.0,96.0
scm1d,866.0,mean,0.0155517261268364,6.435354285769993,2.0632867283291287,0.6364466018146939,132.6608182711061,92.0,76.0
scm1d,12.0,mean,0.0221113294569982,6.791413466135661,1.8360173437330456,0.4895245267285241,150.4307189329993,105.0,89.0
scm1d,4.0,mean,0.0252494756132364,7.117903497483995,2.100243091583252,0.6630215909745958,121.45702207903378,83.0,67.0
wq,0.0,mean,0.071423664689064,20.000396728515625,2.5413668155670166,0.996606707572937,112.40489690494724,109.0,93.0
wq,42.0,mean,0.1320754587650299,21.774564743041992,2.5220727920532227,0.9537550806999208,17.273858328117058,16.0,0.0
wq,866.0,mean,0.1103382855653762,23.02718734741211,2.7451322078704834,1.1463594436645508,85.89709175098687,83.0,67.0
wq,12.0,mean,0.0589493922889232,21.07516098022461,2.5221126079559326,0.9651193618774414,98.2180209401995,95.0,79.0
wq,4.0,mean,0.0692705363035202,119.7674789428711,2.665862560272217,1.0868748426437378,100.51020972407424,94.0,78.0
scpf,0.0,mean,0.0183842815458774,-5.605975151062012,0.2428157180547714,0.2236552983522415,299.31100585707463,287.0,271.0
scpf,42.0,mean,0.0240395236760377,-4.463476657867432,0.2575771510601043,0.1473069489002227,384.3977916610893,378.0,362.0
scpf,866.0,mean,0.0364668555557727,-5.044373989105225,0.5346984267234802,1.1045149564743042,359.4220625939779,337.0,321.0
scpf,12.0,mean,0.0789329931139946,4.733156204223633,1.118566393852234,4.738025188446045,112.21996194892564,107.0,91.0
scpf,4.0,mean,0.033138807862997,-3.0354487895965576,0.6036143898963928,1.293445110321045,282.5070810331963,267.0,251.0
meps_21,0.0,mean,0.0210127914324402,-1.751721307635307,0.4314358346164226,0.7217025086283684,118.1859282690566,70.0,54.0
