data_name,seed,prerank,pce,nll,energy,mse,train_time_seconds,epochs_trained,best_epoch
households,0.0,mean,0.0986050230761369,3.2788158655166626,0.9555464585622152,0.657834380865097,103.52566757600287,105.0,89.0
households,42.0,mean,0.0997665872176488,3.166667421658834,0.9208239515622456,0.6260732014973959,127.23547473794316,124.0,108.0
households,866.0,mean,0.0883223935961723,3.2542465925216675,0.9325355291366576,0.6429669857025146,116.2897259470774,106.0,90.0
households,12.0,mean,0.0760105351607004,3.287526686986288,0.9217235843340555,0.6144075393676758,123.66895381093492,114.0,98.0
households,4.0,mean,0.1008814002076784,3.2945011059443154,0.9188060462474824,0.6210697591304779,115.44571267999709,106.0,90.0
air,0.0,mean,0.0920119009912014,5.780137157440185,1.4237536549568175,0.9950753390789032,173.2435571020469,135.0,119.0
air,42.0,mean,0.0902855344116687,5.629011440277099,1.390153157711029,0.9170127511024476,175.2001305690501,136.0,120.0
air,866.0,mean,0.089647164568305,5.355096530914307,1.351448690891266,0.8212564051151275,155.10063604498282,122.0,106.0
air,12.0,mean,0.0954140953719615,5.663867425918579,1.417266309261322,0.9220124661922456,157.41326502896845,123.0,107.0
air,4.0,mean,0.09372388869524,5.508258104324341,1.439315629005432,0.962159413099289,167.61726564902347,132.0,116.0
births1,0.0,mean,0.0856838501989841,0.9235234379768372,0.6959946155548096,0.8380095601081848,164.93084727891255,129.0,113.0
births1,42.0,mean,0.0756063226610422,1.1098745822906495,0.7129780292510987,0.8569534182548523,187.28367011097723,144.0,128.0
births1,866.0,mean,0.067790362983942,1.237053430080414,0.7128613114356994,0.8437070369720459,175.23595561506227,139.0,123.0
births1,12.0,mean,0.0801415849477052,1.035557323694229,0.7005038619041443,0.8164995789527894,160.10713333205786,128.0,112.0
births1,4.0,mean,0.0877975568175315,1.4268703579902648,0.721759957075119,0.8667511284351349,169.1035504429601,133.0,117.0
births2,0.0,mean,0.0384743569418788,-2.3988435745239256,0.9732010662555696,1.0596578419208529,244.01751137105748,188.0,172.0
births2,42.0,mean,0.0574153129011392,-4.9330357074737545,0.8403516232967376,0.6804388374090194,383.8219552870141,291.0,275.0
births2,866.0,mean,0.054103010892868,-4.460472512245178,0.8688318967819214,0.8085223525762558,257.45860523707233,202.0,186.0
births2,12.0,mean,0.0421422753483057,-4.067778897285462,0.8131118148565293,0.7713511057198048,242.9709064869676,184.0,168.0
births2,4.0,mean,0.0437132380902767,-3.4085248708724976,0.9242384910583497,0.8359891772270203,227.2117211590521,173.0,157.0
wage,0.0,mean,0.0844759561121463,0.3178078688681126,0.7020034611225128,0.7089478969573975,66.51984317007009,51.0,35.0
wage,42.0,mean,0.0866740170866251,0.6598482608795166,0.7094437122344971,0.7262128174304963,67.37722509109881,51.0,35.0
wage,866.0,mean,0.0747969362884759,0.2170328333973884,0.7133061051368713,0.7167963981628418,68.54760623001494,53.0,37.0
wage,12.0,mean,0.0760959386825561,0.4792345948517322,0.6736798584461212,0.6683997392654419,91.03337717906106,69.0,53.0
wage,4.0,mean,0.099063641577959,0.564153116941452,0.7292639970779419,0.7570619523525238,64.36038305109832,49.0,33.0
scm20d,0.0,mean,0.0813707849010825,18.30787795782089,2.321615427732468,0.8020628318190575,96.3168364620069,74.0,58.0
scm20d,42.0,mean,0.0845564994961023,8.22340214252472,2.3391096591949463,0.8131670728325844,97.21268783905543,76.0,60.0
scm20d,866.0,mean,0.0704251653514802,7.423404633998871,2.251021146774292,0.7660313174128532,93.70909629692324,73.0,57.0
scm20d,12.0,mean,0.0830541718751192,8.70293515920639,2.3471759855747223,0.8232283443212509,76.70172212598845,56.0,40.0
