data_name,lambda,prerank,pce,energy
house,0.0,marginal,0.16240740915139515,0.6512264450391133
house,0.01,marginal,0.18587427139282225,0.6399155298868815
house,0.1,marginal,0.17452348073323568,0.6399083058039348
house,1.0,marginal,0.14941625893115998,0.6107903122901917
house,5.0,marginal,0.04514592165748278,0.6361959139506023
house,10.0,marginal,0.04071680133541425,0.6120864391326905
house,0.0,mean,0.23075636625289916,0.5837353626887004
house,0.01,mean,0.19767286876837412,0.6789999365806579
house,0.1,mean,0.18572200040022532,0.6856979330380758
house,1.0,mean,0.14084208011627197,0.6378683090209961
house,5.0,mean,0.04617114141583443,0.537860381603241
house,10.0,mean,0.04388441517949104,0.6678202788035075
house,0.0,variance,0.18326240281263986,0.6428962310155233
house,0.01,variance,0.20222288171450298,0.6543405572573344
house,0.1,variance,0.17423803508281707,0.6728208621342977
house,1.0,variance,0.10894020646810532,0.6640205144882202
house,5.0,variance,0.0459429698685805,0.53071857492129
house,10.0,variance,0.043708887820442514,0.6161909937858582
house,0.0,dependency,0.18723771174748738,0.631380808353424
house,0.01,dependency,0.20746844212214152,0.6112553000450134
house,0.1,dependency,0.17045806000630062,0.6678564031918843
house,1.0,dependency,0.11658086478710175,0.6229628841082255
house,5.0,dependency,0.05063949724038442,0.5839595079421998
house,10.0,dependency,0.0411675946166118,0.6004140416781107
house,0.0,pca,0.21836619277795155,0.5972242712974548
house,0.01,pca,0.17581940790017445,0.6452179869016011
house,0.1,pca,0.18524715900421143,0.6473161578178406
house,1.0,pca,0.14273450374603272,0.627991239229838
house,5.0,pca,0.05459106961886088,0.6378139177958171
house,10.0,pca,0.04928917276362578,0.6323264400164287
house,0.0,density,0.2049058457215627,0.5770451466242472
house,0.01,density,0.13319279750188193,0.6443016608556111
house,0.1,density,0.1381144513686498,0.6107868790626526
house,1.0,density,0.10594053566455841,0.6054092725118001
house,5.0,density,0.0553454061349233,0.6186837156613668
house,10.0,density,0.047013856222232184,0.6287474155426025
house,0.0,cdf,0.15548160324494045,0.6452492396036784
house,0.01,cdf,0.173577876885732,0.6379285136858622
house,0.1,cdf,0.17851543426513672,0.5845588326454163
house,1.0,cdf,0.13150484065214793,0.6193237066268921
house,5.0,cdf,0.0467115460584561,0.5639658490816752
house,10.0,cdf,0.038236414268612864,0.5647601087888082
bio,0.0,marginal,0.12839941658517895,0.2519703007796231
bio,0.01,marginal,0.13252235795645154,0.2448255660779336
bio,0.1,marginal,0.10390779244549134,0.24239502145963557
bio,1.0,marginal,0.04702945256277042,0.25056182111010833
bio,5.0,marginal,0.050251638790702116,0.2567715907798094
bio,10.0,marginal,0.048321308129850554,0.2624933382167536
bio,0.0,mean,0.13165847343557022,0.24553487844326916
bio,0.01,mean,0.11808277118731947,0.24906872256713755
bio,0.1,mean,0.07838218407157589,0.24382834443274667
bio,1.0,mean,0.05949083880028304,0.24211185644654667
bio,5.0,mean,0.04531734436750412,0.2618545587448513
bio,10.0,mean,0.046007281552781075,0.26161251304780736
bio,0.0,variance,0.11442454422221464,0.24546333183260524
bio,0.01,variance,0.10930769430363879,0.2461756204857546
bio,0.1,variance,0.10211636498570442,0.24852502609000487
bio,1.0,variance,0.05444970102432896,0.2524572054252905
bio,5.0,variance,0.049668546985177434,0.25766657862593145
bio,10.0,variance,0.045568560085752434,0.2547163937021704
bio,0.0,dependency,0.12203723433263161,0.25009075376917334
bio,0.01,dependency,0.11146733471575905,0.24503454083905502
bio,0.1,dependency,0.10830136016011238,0.25004083707052116
bio,1.0,dependency,0.0510995713993907,0.24893196847508936
bio,5.0,dependency,0.04763296082177583,0.2588353016797234
bio,10.0,dependency,0.0467952753910247,0.2587239067344105
bio,0.0,pca,0.1264243524740724,0.242337105467039
bio,0.01,pca,0.13414948302156784,0.25062639441560297
bio,0.1,pca,0.10913609669489019,0.2434661962530192
bio,1.0,pca,0.0568334554486415,0.24573923033826492
bio,5.0,pca,0.045493037275531716,0.2534785020877333
bio,10.0,pca,0.046564039883806425,0.2593682333827019
bio,0.0,density,0.10043725393274251,0.24744491936529384
bio,0.01,density,0.10915050414555214,0.2470044296453981
bio,0.1,density,0.08618521284969415,0.2447880331207724
bio,1.0,density,0.06852849320892025,0.2480967921369216
bio,5.0,density,0.052293828743345594,0.2666320739423527
bio,10.0,density,0.04872532654553652,0.267745381769012
bio,0.0,cdf,0.1636930243933902,0.25066031033501907
bio,0.01,cdf,0.18044115997412624,0.2544880443636109
bio,0.1,cdf,0.07312272116541862,0.2541091122171458
bio,1.0,cdf,0.053056511370574724,0.2487240600235322
bio,5.0,cdf,0.047542337437762934,0.252847362528829
bio,10.0,cdf,0.04604998280239456,0.25872182101011276
blog_data,0.0,marginal,0.28984265182262814,0.6557450936390803
blog_data,0.01,marginal,0.2786090144744286,0.650197562498924
blog_data,0.1,marginal,0.17101622162721095,0.6561209024527134
blog_data,1.0,marginal,0.07789886656862038,0.6478361456822126
blog_data,5.0,marginal,0.04714874178171158,0.6523507497249506
blog_data,10.0,marginal,0.04178631000029735,0.6711298456558814
blog_data,0.0,mean,0.1993317520007109,0.636977596160693
blog_data,0.01,mean,0.20631160109471053,0.6280668393159524
blog_data,0.1,mean,0.1688018574928626,0.6616000899901757
blog_data,1.0,mean,0.07690659996408683,0.6612099134005033
blog_data,5.0,mean,0.04947878783329939,0.6927813994578826
blog_data,10.0,mean,0.04352238535498961,0.7004877221889985
blog_data,0.0,variance,0.27357428578230053,0.6538006067276001
blog_data,0.01,variance,0.2614166935284932,0.644352776881976
blog_data,0.1,variance,0.20570921210142282,0.6507417146976178
blog_data,1.0,variance,0.09195572070968457,0.6756132443745931
blog_data,5.0,variance,0.04761552896637183,0.7120509376892676
blog_data,10.0,variance,0.04343638793589213,0.6840219497680664
blog_data,0.0,dependency,0.2637672642102608,0.6625950580988175
blog_data,0.01,dependency,0.2883715812976544,0.6252228908049755
blog_data,0.1,dependency,0.23928118478029203,0.646749109793932
blog_data,1.0,dependency,0.08585269997517268,0.662991497761164
blog_data,5.0,dependency,0.04876338021877485,0.6946947605181963
blog_data,10.0,dependency,0.043617942346594274,0.6904392807911603
blog_data,0.0,pca,0.21655577268355933,0.6652236259900607
blog_data,0.01,pca,0.2054895212252935,0.6634672620357611
blog_data,0.1,pca,0.17667426589207771,0.6594525300539457
blog_data,1.0,pca,0.08558230866224338,0.6553614353522276
blog_data,5.0,pca,0.045163983622422584,0.6792645225158105
blog_data,10.0,pca,0.04397214438097599,0.6873569809473478
blog_data,0.0,density,0.35877248568412584,0.6632574017231281
blog_data,0.01,density,0.3638233198569371,0.6519649594258039
blog_data,0.1,density,0.2693644826992964,0.6433854225354317
blog_data,1.0,density,0.1099876914268885,0.6542022304657178
blog_data,5.0,density,0.0781633799465803,0.3179794389467973
