Datasets,Marginal,Loc.,Scale,Dep.,PCA,HDR
households,0.04655956166485945,0.036570997163653376,0.07629862601558367,0.026649249469240504,0.028354734616975,0.07328442061940829
scm20d,0.030447037136182187,0.03428579531610012,0.08857268899679185,0.08030693143606187,0.03889564321143553,0.14294821947813033
