data_name,seed,prerank,pce,nll,energy,mse
households,0,marginal,0.089804109185934,3.2341405153274536,0.9337223370869956,0.6488968729972839
households,0,mean,0.0896032514671484,3.2341405153274536,0.932308981815974,0.6488968729972839
households,0,variance,0.1454720857242743,3.2341405153274536,0.9323623478412628,0.6488968729972839
households,0,dependency,0.0165226377236346,3.2341405153274536,0.9373148083686828,0.6488968729972839
households,0,pca,0.0662463195621967,3.2341405153274536,0.9342598716417948,0.6488968729972839
households,0,density,0.1229280171295007,3.2341405153274536,0.9351339638233184,0.6488968729972839
households,0,cdf,0.1421323815981547,3.2341405153274536,0.9351703723271688,0.6488968729972839
households,42,marginal,0.1051588132977485,3.04573659102122,0.8672180573145548,0.5299989233414332
households,42,mean,0.098996166139841,3.04573659102122,0.8636652529239655,0.5299989233414332
households,42,variance,0.1112498876949151,3.04573659102122,0.8705744246641794,0.5299989233414332
households,42,dependency,0.0181697746738791,3.04573659102122,0.8658884267012278,0.5299989233414332
households,42,pca,0.0673885072271029,3.04573659102122,0.8641748329003652,0.5299989233414332
households,42,density,0.0825175046920776,3.04573659102122,0.8649368186791738,0.5299989233414332
households,42,cdf,0.1817686185240745,3.04573659102122,0.8651569187641144,0.5299989233414332
households,866,marginal,0.1025707200169563,3.1425417264302573,0.9162498414516448,0.6113267640272776
households,866,mean,0.0951183065772056,3.1425417264302573,0.9183402359485626,0.6113267640272776
households,866,variance,0.1279634274542331,3.1425417264302573,0.9203331669171652,0.6113267640272776
households,866,dependency,0.0210185145648817,3.1425417264302573,0.9194602370262146,0.6113267640272776
households,866,pca,0.0713017558058102,3.1425417264302573,0.9196824530760448,0.6113267640272776
households,866,density,0.1042471341788768,3.1425417264302573,0.915216435988744,0.6113267640272776
households,866,cdf,0.1656724413235982,3.1425417264302573,0.918054183324178,0.6113267640272776
households,12,marginal,0.0936564144988854,3.330333113670349,0.9438011944293976,0.6556774973869324
households,12,mean,0.0903199749688307,3.330333113670349,0.945786714553833,0.6556774973869324
households,12,variance,0.1157483917971452,3.330333113670349,0.947026789188385,0.6556774973869324
households,12,dependency,0.0273435016473134,3.330333113670349,0.944949189821879,0.6556774973869324
households,12,pca,0.065074839318792,3.330333113670349,0.9478123088677723,0.6556774973869324
households,12,density,0.0856518993775049,3.330333113670349,0.9453360438346864,0.6556774973869324
households,12,cdf,0.1391335551937421,3.330333113670349,0.94384636481603,0.6556774973869324
households,4,marginal,0.0821653008460998,3.182682037353516,0.9279859562714896,0.6265386442343394
households,4,mean,0.0856496853133042,3.182682037353516,0.9291149775187174,0.6265386442343394
households,4,variance,0.126212199529012,3.182682037353516,0.9281218747297922,0.6265386442343394
