data_name,lambda,prerank,pce,energy
births1,0.0,dependency,0.1276529803872108,0.70206352074941
births1,0.01,dependency,0.1283449046313762,0.701054443915685
births1,0.1,dependency,0.1225210477908452,0.7045219341913859
births1,1.0,dependency,0.0590250920504331,0.7001134554545084
births1,5.0,dependency,0.0289536180595556,0.7037133574485779
births1,10.0,dependency,0.0251026805490255,0.7032849589983622
wage,0.0,dependency,0.1003543039162953,0.685917486747106
wage,0.01,dependency,0.09248839939634,0.6759604116280874
wage,0.1,dependency,0.1042319287856419,0.691749264796575
wage,1.0,dependency,0.0528907524421811,0.6987352867921194
wage,5.0,dependency,0.0326874855284889,0.737283319234848
wage,10.0,dependency,0.0296361350143949,0.6881230672200521
meps_21,0.0,dependency,0.0573118284344673,0.4000910252332687
meps_21,0.01,dependency,0.0552897710353136,0.3954403787851334
meps_21,0.1,dependency,0.0482181977480649,0.4040217161178588
meps_21,1.0,dependency,0.0382257724180817,0.4044513076543808
meps_21,5.0,dependency,0.0275623422116041,0.4111689209938049
meps_21,10.0,dependency,0.0243631632998585,0.4377656191587448
meps_19,0.0,dependency,0.051535714790225,0.4315338671207428
meps_19,0.01,dependency,0.046935960277915,0.3962693125009536
meps_19,0.1,dependency,0.0419942377135157,0.3962093085050583
meps_19,1.0,dependency,0.0326105341315269,0.3892123878002166
meps_19,5.0,dependency,0.0315624305978417,0.4291249930858612
meps_19,10.0,dependency,0.0217063437215983,0.4459154963493347
meps_20,0.0,dependency,0.04885271921133,0.3470929178098837
meps_20,0.01,dependency,0.0440233376187582,0.354038988550504
meps_20,0.1,dependency,0.0494418789943059,0.3501769788563251
meps_20,1.0,dependency,0.0333855149025718,0.3567164279520511
meps_20,5.0,dependency,0.0279390253126621,0.3842360153794288
meps_20,10.0,dependency,0.030102357501164,0.3903459956248601
house,0.0,dependency,0.114304806292057,0.6470733126004536
house,0.01,dependency,0.1163281962275505,0.6018951535224915
house,0.1,dependency,0.101088324189186,0.5865065137545268
house,1.0,dependency,0.0609008833765983,0.6798260450363159
house,5.0,dependency,0.023357823677361,0.6577470143636067
house,10.0,dependency,0.0199062603836258,0.6615915338198344
bio,0.0,dependency,0.0456295524559476,0.2459345893824801
bio,0.01,dependency,0.0549343398169559,0.2420219726422253
bio,0.1,dependency,0.0542555532472975,0.2450805065386435
bio,1.0,dependency,0.0256418956662802,0.2462008174727945
bio,5.0,dependency,0.0243972319397417,0.2568373136660632
bio,10.0,dependency,0.0223061556873076,0.2587789297103882
blog_data,0.0,dependency,0.1150150138598222,0.6524569804851825
blog_data,0.01,dependency,0.134495337995199,0.644680428199279
blog_data,0.1,dependency,0.114506867642586,0.6702424104397113
blog_data,1.0,dependency,0.043859164063365,0.6654791511022128
blog_data,5.0,dependency,0.0249150131518642,0.7161027697416452
blog_data,10.0,dependency,0.0223702288781985,0.7174246097222353
calcofi,0.0,dependency,0.0842437337942962,0.4209674075010823
calcofi,0.01,dependency,0.0733887272466808,0.4211006244462371
calcofi,0.1,dependency,0.0703060460755783,0.4210100248220967
calcofi,1.0,dependency,0.0197344659225374,0.4222516246868609
calcofi,5.0,dependency,0.0198912523548803,0.4212972465843808
calcofi,10.0,dependency,0.0195689826332655,0.4220218429053995
ansur2,0.0,dependency,0.1160606071352958,0.4982563257217407
ansur2,0.01,dependency,0.1214646399021148,0.4990067780017853
ansur2,0.1,dependency,0.108030304312706,0.4976498484611511
ansur2,1.0,dependency,0.048636358231306,0.4992823600769043
ansur2,5.0,dependency,0.031464647501707,0.498361736536026
ansur2,10.0,dependency,0.0251515135169029,0.504250705242157
taxi,0.0,dependency,0.0951257024122321,0.6835533419381017
taxi,0.01,dependency,0.0844826532689773,0.683315282282622
taxi,0.1,dependency,0.0851558016046233,0.6834207462227863
taxi,1.0,dependency,0.027318883869473,0.6868305828260339
taxi,5.0,dependency,0.0230086561616348,0.6889022666475048
taxi,10.0,dependency,0.0248512754459743,0.696146133153335
ansur2,0.0,marginal,0.052348487079143524,0.49821436405181885
ansur2,0.01,marginal,0.05368686467409134,0.5003290772438049
ansur2,0.1,marginal,0.049848489463329315,0.49804002046585083
ansur2,1.0,marginal,0.040378786623477936,0.49236664175987244
ansur2,5.0,marginal,0.02037878707051277,0.5138012170791626
ansur2,10.0,marginal,0.017954543232917786,0.4997822046279907
ansur2,0.0,mean,0.043737370520830154,0.4982249438762665
ansur2,0.01,mean,0.040707074105739594,0.49839240312576294
ansur2,0.1,mean,0.040707066655159,0.5013799071311951
ansur2,1.0,mean,0.03338383883237839,0.49788743257522583
ansur2,5.0,mean,0.012222222052514553,0.5114877820014954
ansur2,10.0,mean,0.020252522081136703,0.52022784948349
ansur2,0.0,variance,0.11343435198068619,0.499267578125
ansur2,0.01,variance,0.10863635689020157,0.49804428219795227
ansur2,0.1,variance,0.11338383704423904,0.4923191964626312
ansur2,1.0,variance,0.06388889253139496,0.48927080631256104
ansur2,5.0,variance,0.02005050703883171,0.4930463135242462
ansur2,10.0,variance,0.02202020026743412,0.5035935044288635
ansur2,0.0,pca,0.050707072019577026,0.498140424489975
ansur2,0.01,pca,0.05073232203722,0.5007433295249939
ansur2,0.1,pca,0.05068181827664375,0.4955984055995941
ansur2,1.0,pca,0.04186868667602539,0.49943992495536804
ansur2,5.0,pca,0.02606060728430748,0.5171075463294983
ansur2,10.0,pca,0.01845959573984146,0.5028719902038574
ansur2,0.0,density,0.15929292142391205,0.4993412494659424
ansur2,0.01,density,0.1742929369211197,0.5016893148422241
ansur2,0.1,density,0.14575757086277008,0.493224561214447
ansur2,1.0,density,0.08404040336608887,0.504035472869873
ansur2,5.0,density,0.021919192746281624,0.5254091024398804
ansur2,10.0,density,0.027676770463585854,0.5308319330215454
ansur2,0.0,cdf,0.05065656453371048,0.4995405375957489
ansur2,0.01,cdf,0.04318181797862053,0.5017266273498535
ansur2,0.1,cdf,0.05065656453371048,0.4974195063114166
ansur2,1.0,cdf,0.030202023684978485,0.49546027183532715
ansur2,5.0,cdf,0.021868685260415077,0.5025802850723267
ansur2,10.0,cdf,0.01792929321527481,0.5265903472900391
taxi,0.0,marginal,0.08641720563173294,0.6838677149751912
taxi,0.01,marginal,0.0828566233748975,0.6833802487539209
taxi,0.1,marginal,0.07497409067076186,0.6820968311765919
taxi,1.0,marginal,0.061147278093773384,0.6831120628377666
taxi,5.0,marginal,0.02344427579689933,0.6894285108732141
taxi,10.0,marginal,0.0219300821342546,0.6976742381634919
taxi,0.0,mean,0.0721597256867782,0.6820485190204952
taxi,0.01,mean,0.08184466316648152,0.6793550667555436
taxi,0.1,mean,0.06902965627934622,0.6827891572662022
taxi,1.0,mean,0.04737832182613404,0.6837997410608374
taxi,5.0,mean,0.02084580782557959,0.6887056063050809
taxi,10.0,mean,0.01939284661784768,0.6889039679713871
taxi,0.0,variance,0.0870778331047167,0.6822494423907736
taxi,0.01,variance,0.08117990203849647,0.6826674912286841
taxi,0.1,variance,0.08835333415671535,0.683163328015286
taxi,1.0,variance,0.03266891671101684,0.6880325700925745
taxi,5.0,variance,0.028172817607612713,0.6881527084371318
taxi,10.0,variance,0.026778587119896776,0.6940135605957197
taxi,0.0,pca,0.10223743270920671,0.6821173403574072
taxi,0.01,pca,0.09683050490591837,0.6831585466861725
taxi,0.1,pca,0.08980385586619377,0.6820164633833844
taxi,1.0,pca,0.032259316629041794,0.6848807283069777
taxi,5.0,pca,0.021059023256859054,0.6844956874847412
taxi,10.0,pca,0.02030163703729277,0.6862492444722549
taxi,0.0,density,0.04802074206426092,0.6811295048050259
taxi,0.01,density,0.046714538343898625,0.6820197196110435
taxi,0.1,density,0.051170271335412625,0.6830726304779882
taxi,1.0,density,0.024219990080303472,0.6819254626398501
taxi,5.0,density,0.02277461459617252,0.684139811474344
taxi,10.0,density,0.023673942069644512,0.6878106153529623
taxi,0.0,cdf,0.09832264401990434,0.6827297340268674
taxi,0.01,cdf,0.09191770090357117,0.6825276976046355
taxi,0.1,cdf,0.09090771655673566,0.6837804602540057
taxi,1.0,cdf,0.04822370369473229,0.6859772166480189
taxi,5.0,cdf,0.02281858957291621,0.6899870128735252
taxi,10.0,cdf,0.020399105107492727,0.6935265491838041
