data_name,prerank,pce,energy,nll
households,marginal,0.02553663371751706,0.9469434320926666,3.2862276236216226
households,mean,0.01868340310951074,0.9461445411046346,3.2862276236216226
households,variance,0.020805881048242252,0.9423215786616007,3.2862276236216226
households,dependency,0.019678971419731777,0.9491629401842753,3.2862276236216226
households,pca,0.020113596071799595,0.9452142616113027,3.2862276236216226
households,density,0.0183407183115681,0.9443013370037079,3.2862276236216226
households,cdf,0.02757458295673132,0.9426548381646475,3.2862276236216226
air,marginal,0.02887216620147228,1.4232835531234742,5.685531091690064
air,mean,0.02538154348731041,1.4224863529205323,5.685531091690064
air,variance,0.024479067139327525,1.417799162864685,5.685531091690064
air,dependency,0.02639503441751003,1.4145273089408874,5.685531091690064
air,pca,0.026400043442845345,1.4191060662269592,5.685531091690064
air,density,0.02254830626770854,1.4238685250282288,5.685531091690064
air,cdf,0.039720522612333296,1.4229167461395265,5.685531091690064
births1,marginal,0.03312456160783768,0.6974313020706177,1.1303224325180055
births1,mean,0.033288313634693624,0.6964285552501679,1.1303224325180055
births1,variance,0.03259387388825417,0.6991851031780243,1.1303224325180055
births1,dependency,0.02702696593478322,0.6990630090236664,1.1303224325180055
births1,pca,0.027548152673989534,0.6974820673465729,1.1303224325180055
births1,density,0.023557786457240583,0.69261394739151,1.1303224325180055
births1,cdf,0.03240577802062035,0.6926050782203674,1.1303224325180055
births2,marginal,0.1181329220533371,0.9263957679271698,-4.219482636451721
births2,mean,0.05084752216935158,0.9194574415683746,-4.219482636451721
births2,variance,0.08543672747910022,0.9173811137676239,-4.219482636451721
births2,dependency,0.03835394345223904,0.9134270131587983,-4.219482636451721
births2,pca,0.05777418650686741,0.9211557090282441,-4.219482636451721
births2,density,0.033606102038174865,0.9252471923828125,-4.219482636451721
births2,cdf,0.04399253092706203,0.9198214113712311,-4.219482636451721
wage,marginal,0.04653289001435042,0.7058239579200745,0.6355418771505356
wage,mean,0.042627754621207714,0.7009602129459381,0.6355418771505356
wage,variance,0.02847201842814684,0.7002186059951783,0.6355418771505356
wage,dependency,0.028729385510087014,0.7008442997932434,0.6355418771505356
wage,pca,0.042088514938950536,0.7018838226795197,0.6355418771505356
wage,density,0.03406770443543792,0.7033558487892151,0.6355418771505356
wage,cdf,0.04501268388703465,0.7016159236431122,0.6355418771505356
scm20d,marginal,0.026449629105627537,2.2972726225852966,8.907242953777313
scm20d,mean,0.036799866473302245,2.3039223849773407,8.907242953777313
scm20d,variance,0.06254378007724881,2.292802929878235,8.907242953777313
scm20d,dependency,0.06367521220818162,2.295224189758301,8.907242953777313
scm20d,pca,0.041483146604150534,2.298213541507721,8.907242953777313
scm20d,density,0.030060203978791833,2.294920414686203,8.907242953777313
scm20d,cdf,0.05284238746389747,2.296092003583908,8.907242953777313
scm1d,marginal,0.02647661314242416,1.8849378029505413,36.499628172980415
scm1d,mean,0.03412720219542583,1.8818002939224243,36.499628172980415
scm1d,variance,0.05203610948390431,1.8797180122799344,36.499628172980415
scm1d,dependency,0.09788314749797185,1.8788497977786593,36.499628172980415
scm1d,pca,0.045880785004960165,1.883192565706041,36.499628172980415
scm1d,density,0.03161931927833292,1.8814001480738323,36.499628172980415
scm1d,cdf,0.05716585409310129,1.8844971391889784,36.499628172980415
wq,marginal,0.09730230271816254,2.5512237548828125,20.25406837463379
wq,mean,0.028755001723766327,2.5265820026397705,20.25406837463379
wq,variance,0.053411468863487244,2.5428731441497803,20.25406837463379
wq,dependency,0.03702877461910248,2.548689603805542,20.25406837463379
wq,pca,0.03361944854259491,2.5607056617736816,20.25406837463379
wq,density,0.06439679861068726,2.5554380416870117,20.25406837463379
wq,cdf,0.244974747300148,2.540982723236084,20.25406837463379
scpf,marginal,0.12114816904067993,0.2339501827955246,-6.2278289794921875
